,Unnamed: 0,id,source,sentence_1,sentence_2,label,binary-label,index
284,102,,,개인적으로 ost가 좋아서,영화자체도 나쁘지 않지만 ost가 idm뮤직의 최고 걸작이므로 + 점.,2.6,1.0,102
283,102,boostcamp-sts-v1-dev-102,nsmc-sampled,개인적으로 ost가 좋아서,영화자체도 나쁘지 않지만 ost가 idm뮤직의 걸작이므로 +점.,2.6,1.0,102
285,103,,,내몸의 세포가 모두 죽는 느낌이 들었다.,마치 내 몸의 모든 세포가 죽어가는 것 같았다.,4.2,1.0,103
286,103,,,내몸의 세포가 모두 다 죽는 느낌이 들었다.,내 몸의 모든 세포가 죽어가는 것 같았다.,4.2,1.0,103
287,103,,,내몸의 세포가 모두 다 죽는 느낌이 들었다.,마치 내 몸의 모든 세포가 죽어가는 것 같았다.,,,103
288,103,boostcamp-sts-v1-dev-103,nsmc-rtt,내몸의 세포가 모두 죽는 느낌이 들었다.,내 몸의 모든 세포가 죽어가는 것 같았다.,4.2,1.0,103
289,104,boostcamp-sts-v1-dev-104,nsmc-sampled,개인적으로 편보다 내용적인 면에서 만족했다.,"일단, 개인적으로 편보다 낫다고 생각한다.",2.6,1.0,104
290,104,,,개인적으로 편보다 더 내용적인 면에서 만족했다.,"일단, 개인적으로 다른 편보다 낫다고 생각한다.",,,104
291,104,,,개인적으로 편보다 내용적인 면에서 만족했다.,"일단, 개인적으로 다른 편보다 낫다고 생각한다.",2.6,1.0,104
292,104,,,개인적으로 편보다 더 내용적인 면에서 만족했다.,"일단, 개인적으로 편보다 낫다고 생각한다.",2.6,1.0,104
293,105,boostcamp-sts-v1-dev-105,slack-sampled,상현 오피스에서 진행하자,상현 오피스에서 진행하자!,4.8,1.0,105
297,106,,,....난또 단편 영화인줄알았는데 이뭐병 에니안보신분은 보지마세요 돈날려요,어우 완전 오글거리고 재미도없고.... 이건 진짜 뭐 진심 돈아까웠다,2.4,0.0,106
296,106,,,.... 난또 단편 영화인줄알았는데 이뭐병 에니안보신분은 다신 보지마세요 돈날려요,어우 완전 오글거리고 재미도없고.... 이건 진짜 뭐 진심 돈아까웠다,,,106
294,106,boostcamp-sts-v1-dev-106,nsmc-sampled,....난또 단편 영화인줄알았는데 이뭐병 에니안보신분은 보지마세요 돈날려요,어우 완전 오글거리고 재미도없고....이건 뭐 진심 돈아까웠다,2.4,0.0,106
295,106,,,.... 난또 단편 영화인줄알았는데 이뭐병 에니안보신분은 다신 보지마세요 돈날려요,어우 완전 오글거리고 재미도없고....이건 뭐 진심 돈아까웠다,2.4,0.0,106
298,107,,,주류 광고에 음주에대한 경고 경고문을 크게 만들도록 법으로 정해주세요.,주류 광고에서 음주 관련 경고를 더 크게 하는 법을 만들어주세요.,,,107
299,107,,,주류 광고에 음주에대한 경고문을 크게 만들도록 법으로 정해주세요.,주류 광고에서 음주 관련 경고를 더 크게 하는 법을 만들어주세요.,4.4,1.0,107
300,107,,,주류 광고에 음주에대한 경고 경고문을 크게 만들도록 법으로 정해주세요.,주류 광고에서 음주 관련 경고를 크게 하는 법을 만들어주세요.,4.4,1.0,107
301,107,boostcamp-sts-v1-dev-107,petition-rtt,주류 광고에 음주에대한 경고문을 크게 만들도록 법으로 정해주세요.,주류 광고에서 음주 관련 경고를 크게 하는 법을 만들어주세요.,4.4,1.0,107
302,108,,,꽤 지루하지 않고 재밌게 본 그런 영화.,꽤 긴 영화 시간임에도 불구하고 전혀 지루하지 않은 스토리 전개가 놀랍다고 느꼈습니다.,3.0,1.0,108
303,108,boostcamp-sts-v1-dev-108,nsmc-sampled,꽤 지루하지 않고 재밌게 본 영화.,꽤 긴 영화 시간임에도 불구하고 전혀 지루하지 않은 스토리 전개가 놀랍다고 느꼈습니다.,3.0,1.0,108
304,108,,,꽤 지루하지 않고 재밌게 본 그런 영화.,꽤나 긴 영화 상영 시간임에도 불구하고 전혀 지루하지 않은 스토리 전개가 놀랍다고 느꼈습니다.,,,108
305,108,,,꽤 지루하지 않고 재밌게 본 영화.,꽤나 긴 영화 상영 시간임에도 불구하고 전혀 지루하지 않은 스토리 전개가 놀랍다고 느꼈습니다.,3.0,1.0,108
309,109,,,관심 있는 분은 쓱 보시면 재밌습니다 ㅎㅎ,혹시 관심있으신 분은 들어보셔도 참 좋을 것 같습니다 ㅎㅎ,2.0,0.0,109
308,109,,,관심 있는 시청자 분은 쓱 보시면 재밌습니다 ㅎㅎ,혹시 관심있으신 분은 들어보셔도 좋을 것 같습니다 ㅎㅎ,2.0,0.0,109
307,109,boostcamp-sts-v1-dev-109,slack-sampled,관심 있는 분은 쓱 보시면 재밌습니다 ㅎㅎ,혹시 관심있으신 분은 들어보셔도 좋을 것 같습니다 ㅎㅎ,2.0,0.0,109
306,109,,,관심 있는 시청자 분은 쓱 보시면 재밌습니다 ㅎㅎ,혹시 관심있으신 분은 들어보셔도 참 좋을 것 같습니다 ㅎㅎ,,,109
310,110,boostcamp-sts-v1-dev-110,nsmc-sampled,새벽에보고 눈물콧물 쏟았네..ㅠㅠ,오늘은...좀 눈물고였다..ㅠㅠ,3.0,1.0,110
311,111,boostcamp-sts-v1-dev-111,petition-sampled,국민 청원 및 제안 플랫폼 관련 의견,국민 청원 및 제안 플랫폼에 반대 댓글 쓸수 있게 해주세요,2.4,0.0,111
312,111,,,국민 청원 및 제안 플랫폼 관련 전문가 의견,국민 청원 및 제안 플랫폼에 반대 댓글 쓸수 있게 해주세요,2.4,0.0,111
313,111,,,국민 청원 및 제안 플랫폼 관련 전문가 의견,국민 청원 및 정부 정책 제안 플랫폼에 반대 댓글 쓸수 있게 해주세요,,,111
314,111,,,국민 청원 및 제안 플랫폼 관련 의견,국민 청원 및 정부 정책 제안 플랫폼에 반대 댓글 쓸수 있게 해주세요,2.4,0.0,111
315,112,boostcamp-sts-v1-dev-112,nsmc-sampled,기대안하고 보았다가 언제가 기억속에 있는 영화,기대안하고 보았는데 최고였던 영화,2.6,1.0,112
316,112,,,별로 기대안하고 보았다가 언제가 기억속에 있는 영화,기대안하고 보았는데 최고였던 영화,2.6,1.0,112
317,112,,,별로 기대안하고 보았다가 언제가 기억속에 있는 영화,기대안하고 그냥 보았는데 최고였던 영화,,,112
318,112,,,기대안하고 보았다가 언제가 기억속에 있는 영화,기대안하고 그냥 보았는데 최고였던 영화,2.6,1.0,112
320,113,,,되게 집중해서 봤다,그래서 처음엔 집중해서 봤는데 갈수록개막장,1.4,0.0,113
319,113,boostcamp-sts-v1-dev-113,nsmc-sampled,되게 집중해서 봤다,처음엔 집중해서 봤는데 갈수록개막장,1.4,0.0,113
321,114,,,오.. 이런 기업들도 점점 더 다양해지고 잘됐으면 좋겠네요.,""" 아, 이런 기업들이 더 다양해지고 번창했으면 좋겠어요.",,,114
322,114,boostcamp-sts-v1-dev-114,slack-rtt,오.. 이런 기업들 점점 더 다양해지고 잘됐으면 좋겠네요.,"아, 이런 기업들이 더 다양해지고 번창했으면 좋겠어요.",4.4,1.0,114
323,114,,,오.. 이런 기업들도 점점 더 다양해지고 잘됐으면 좋겠네요.,"아, 이런 기업들이 더 다양해지고 번창했으면 좋겠어요.",4.4,1.0,114
324,114,,,오.. 이런 기업들 점점 더 다양해지고 잘됐으면 좋겠네요.,""" 아, 이런 기업들이 더 다양해지고 번창했으면 좋겠어요.",4.4,1.0,114
325,115,boostcamp-sts-v1-dev-115,petition-rtt,문재인 대통령님 국민들이 마지막으로 기회주실때 잡으셔야합니다.,"문재인 대통령, 국민이 주는 마지막 기회를 잡아야 합니다.",4.2,1.0,115
326,115,,,그리고 문재인 대통령님 국민들이 마지막으로 기회주실때 잡으셔야합니다.,"문재인 대통령, 국민이 주는 마지막 기회를 잡아야 합니다.",4.2,1.0,115
327,115,,,그리고 문재인 대통령님 국민들이 마지막으로 기회주실때 잡으셔야합니다.,"문재인 대통령, 국민이 보여 주는 마지막 기회를 잡아야 합니다.",,,115
328,115,,,문재인 대통령님 국민들이 마지막으로 기회주실때 잡으셔야합니다.,"문재인 대통령, 국민이 보여 주는 마지막 기회를 잡아야 합니다.",4.2,1.0,115
331,116,,,"혹여나 빠진 정보가 있다면, 댓글로 꼭 의견주시면 감사하겠습니다!",만약 더 신박한 디자인이 생각나시는 분은 댓글로 멋진 이미지를 남겨주시면 감사하겠습니다 ~!,,,116
332,116,,,"혹여나 빠진 정보가 있다면, 댓글로 의견주시면 감사하겠습니다 !",만약 더 신박한 디자인이 생각나시는 분은 댓글로 멋진 이미지를 남겨주시면 감사하겠습니다 ~!,1.5,0.0,116
330,116,,,"혹여나 빠진 정보가 있다면, 댓글로 꼭 의견주시면 감사하겠습니다!",만약 더 신박한 디자인이 생각나시는 분은 댓글로 이미지 남겨주시면 감사하겠습니다~!,1.5,0.0,116
329,116,boostcamp-sts-v1-dev-116,slack-sampled,"혹여나 빠진 정보가 있다면, 댓글로 의견주시면 감사하겠습니다 !",만약 더 신박한 디자인이 생각나시는 분은 댓글로 이미지 남겨주시면 감사하겠습니다~!,1.5,0.0,116
333,117,boostcamp-sts-v1-dev-117,petition-sampled,전명규빙상연맹임원퇴출,빙상연맹비리및전명규 백철기수사촉구,1.6,0.0,117
334,118,,,"이 영화를 보실 분은, 이 영화보다 더 파라노말액티비티를 보실 것을 권합니다.",이 영화를 보고 싶다면 이 영화보다 파라노말 액티비티를 보는 것을 추천한다.,4.4,1.0,118
335,118,,,"이 영화를 보실 분은, 이 영화보다 더 파라노말액티비티를 보실 것을 권합니다.",이 두 영화를 보고 싶다면 이 영화보다 더 파라노말 액티비티를 보는 것을 추천한다.,,,118
336,118,,,이 영화를 보실 분은 이 영화보다 파라노말액티비티를 보실 것을 권합니다.,이 두 영화를 보고 싶다면 이 영화보다 더 파라노말 액티비티를 보는 것을 추천한다.,4.4,1.0,118
337,118,boostcamp-sts-v1-dev-118,nsmc-rtt,이 영화를 보실 분은 이 영화보다 파라노말액티비티를 보실 것을 권합니다.,이 영화를 보고 싶다면 이 영화보다 파라노말 액티비티를 보는 것을 추천한다.,4.4,1.0,118
338,119,boostcamp-sts-v1-dev-119,slack-rtt,저희 방과 룸메이트를 정하는 사다리타기였습니다ㅋㅋㅎㅋㅎㅋㅎ,우리 방과 룸메이트를 결정하기 위해 사다리를 오르는 것이 었습니다 하하하하하하하,3.4,1.0,119
339,119,,,바로 저희 방과 룸메이트를 정하는 사다리타기였습니다ㅋㅋㅎㅋㅎㅋㅎ,우리 방과 룸메이트를 결정하기 위해 사다리를 오르는 것이 었습니다 하하하하하하하,3.4,1.0,119
340,119,,,바로 저희 방과 룸메이트를 정하는 사다리타기였습니다ㅋㅋㅎㅋㅎㅋㅎ,우리 방과 룸메이트를 결정하기 위해 사다리를 타고 오르는 것이 었습니다. 하하하하하하하,,,119
341,119,,,저희 방과 룸메이트를 정하는 사다리타기였습니다ㅋㅋㅎㅋㅎㅋㅎ,우리 방과 룸메이트를 결정하기 위해 사다리를 타고 오르는 것이 었습니다. 하하하하하하하,3.4,1.0,119
345,120,,,후보 단독 출마에 따른 무투표 당선을 개선해 주세요,"국회의원 및 지자체장 ( 광역, 기초의원 후보 등 포함 ) 의 선거 출마 연령을 대폭 낮추어 주세요.",0.6,0.0,120
344,120,boostcamp-sts-v1-dev-120,petition-sampled,후보 단독 출마에 따른 무투표 당선을 개선해 주세요,"국회의원 및 지자체장(광역, 기초의원 등 포함)의 선거 출마 연령을 낮추어 주세요.",0.6,0.0,120
342,120,,,후보 단독 출마에 이에 따른 무투표 당선을 개선해 주세요,"국회의원 및 지자체장(광역, 기초의원 등 포함)의 선거 출마 연령을 낮추어 주세요.",0.6,0.0,120
343,120,,,후보 단독 출마에 이에 따른 무투표 당선을 개선해 주세요,"국회의원 및 지자체장 ( 광역, 기초의원 후보 등 포함 ) 의 선거 출마 연령을 대폭 낮추어 주세요.",,,120
346,121,boostcamp-sts-v1-dev-121,nsmc-rtt,비록사고로인해장애인이되엇던분들용기를잃지않을려는모습이가슴에와닳앗네요,사고로 인해 장애인이 된 분들의 용기를 잃지 않으려고 애쓰는 모습이 마음에 와도 닳고 맙니다.,3.6,1.0,121
347,122,boostcamp-sts-v1-dev-122,slack-rtt,봄이오는 중입니다.,봄이 와요.,3.4,1.0,122
348,123,,,그런데 나는 왜 왜이렇게 눈물이나는지,너무 좋아서 눈물이 난다 ㅠㅠ,2.4,0.0,123
349,123,,,그런데 나는 왜이렇게 눈물이나는지,너무 좋아서 눈물이 많이 난다 ㅠㅠ,2.4,0.0,123
350,123,boostcamp-sts-v1-dev-123,nsmc-sampled,그런데 나는 왜이렇게 눈물이나는지,너무 좋아서 눈물이 난다 ㅠㅠ,2.4,0.0,123
351,123,,,그런데 나는 왜 왜이렇게 눈물이나는지,너무 좋아서 눈물이 많이 난다 ㅠㅠ,,,123
353,124,boostcamp-sts-v1-dev-124,petition-sampled,국회의원 자격조건 요청합니다,국회의원 최저시급제로 전환 요청합니다,1.0,0.0,124
352,124,,,국회의원 자격조건 요청합니다,국회의원 최저시급제로 전환을 요청합니다,1.0,0.0,124
354,125,boostcamp-sts-v1-dev-125,petition-sampled,대한민국을 지켜주세요,대한민국을 살려주세요.,3.8,1.0,125
356,126,,,문제인대통령 치밀하게~~~,문재인 대통령님 ~ ~ ~ ~ 새해 복 많이 많이 받으세요 ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~,0.8,0.0,126
355,126,boostcamp-sts-v1-dev-126,petition-sampled,문제인대통령 치밀하게~~~,문재인 대통령님~~~~새해 복 많이 받으세요~~~~~~~~~~~~~~~~~~~~,0.8,0.0,126
357,127,boostcamp-sts-v1-dev-127,nsmc-sampled,무섭지가 않아!!..,전혀 공포스럽지 않다-_-....,3.4,1.0,127
358,128,,,팀플랜해도 기능이 거의 다 비슷하고 조금 더 주는 정도라 고민이네요,팀플랜으로 해도 기능은 거의 비슷한데 조금 더 드려야 하나 고민입니다.,3.2,1.0,128
359,128,,,팀플랜해도 기능이 거의 다 비슷하고 조금 더 주는 정도라 고민이네요,팀플랜으로 해도 이 기능은 거의 거의 비슷한데 조금 더 드려야 하나 고민입니다.,,,128
360,128,,,팀플랜해도 기능이 거의 비슷하고 조금 더 주는 정도라 고민이네요,팀플랜으로 해도 이 기능은 거의 거의 비슷한데 조금 더 드려야 하나 고민입니다.,3.2,1.0,128
361,128,boostcamp-sts-v1-dev-128,slack-rtt,팀플랜해도 기능이 거의 비슷하고 조금 더 주는 정도라 고민이네요,팀플랜으로 해도 기능은 거의 비슷한데 조금 더 드려야 하나 고민입니다.,3.2,1.0,128
363,129,boostcamp-sts-v1-dev-129,petition-sampled,북한 예술단에 합류 하길 청원 합니다,"평양 예술공연에 ""백지영 제외"" 청원합니다.",1.2,0.0,129
364,129,,,북한 예술단에 합류 하길 청원을 합니다,"오늘 평양 예술공연에 "" 백지영 제외 "" 청원합니다.",,,129
362,129,,,북한 예술단에 합류 하길 청원을 합니다,"평양 예술공연에 ""백지영 제외"" 청원합니다.",1.2,0.0,129
365,129,,,북한 예술단에 합류 하길 청원 합니다,"오늘 평양 예술공연에 "" 백지영 제외 "" 청원합니다.",1.2,0.0,129
366,130,boostcamp-sts-v1-dev-130,petition-sampled,국회의원 월급 삭감,국회의원 급여 미지급,1.8,0.0,130
367,131,boostcamp-sts-v1-dev-131,petition-sampled,우체국 안양물류집중국을 고밥합니다.,택배 물류센터 현장 대폭 추가건설하라.,0.2,0.0,131
368,131,,,우체국 안양물류집중국을 고밥합니다.,우선 택배 물류센터 현장 대폭 추가건설하라.,0.2,0.0,131
369,132,boostcamp-sts-v1-dev-132,nsmc-sampled,어른이 보기에도 잼남...,역시 어른들이 보기에는 별로였다..ㅋ,1.2,0.0,132
370,132,,,어른이 보기에도 잼남...,역시 어른들이 보기에는 좀 별로였다.. ㅋ,1.2,0.0,132
371,133,boostcamp-sts-v1-dev-133,nsmc-rtt,액션과 신파에 의존하는 그의 영화 중 머리 비우고 볼 수 있는 영화가 있어서 좋지만 이 영화는 유치해서 못볼 지경.,액션과 뉴 웨이브에 의존하는 그의 영화 중에는 머리를 비우고 볼 수 있는 영화가 있지만 이 영화는 너무 유치하다.,3.6,1.0,133
372,133,,,액션과 신파에 의존하는 그의 영화 중 머리 비우고 볼 수 있는 영화가 꽤 있어서 좋지만 이 두 영화는 유치해서 못볼 만한 지경.,액션과 뉴 웨이브에 의존하는 그의 영화 중에는 머리를 비우고 볼 수 있는 영화가 있지만 이 영화는 너무 유치하다.,3.6,1.0,133
373,133,,,액션과 신파에 의존하는 그의 영화 중 머리 비우고 볼 수 있는 영화가 있어서 좋지만 이 영화는 유치해서 못볼 지경.,"액션과 뉴 웨이브에 의존하는 그의 영화 영화 중에는 항상 머리를 비우고 볼 수 있는 영화가 있지만, 이 영화는 너무 유치하다.",3.6,1.0,133
374,133,,,액션과 신파에 의존하는 그의 영화 중 머리 비우고 볼 수 있는 영화가 꽤 있어서 좋지만 이 두 영화는 유치해서 못볼 만한 지경.,"액션과 뉴 웨이브에 의존하는 그의 영화 영화 중에는 항상 머리를 비우고 볼 수 있는 영화가 있지만, 이 영화는 너무 유치하다.",,,133
376,134,,,어버이날 휴일지정 반대합니다,어버이날 공휴일 지정에 반대합니다,4.8,1.0,134
375,134,boostcamp-sts-v1-dev-134,petition-sampled,어버이날 휴일지정 반대합니다,어버이날 공휴일 지정 반대합니다,4.8,1.0,134
377,135,,,보다는 개연성 있는 줄거리와 볼수록 매혹되는 남 주인공~!!!,"사실 처음엔 정말 허접해 보이지만, 보면 볼수록 빠져드는 매력적인 영화 ~!!",0.6,0.0,135
378,135,boostcamp-sts-v1-dev-135,nsmc-sampled,보다는 개연성 있는 줄거리와 볼수록 매혹되는 남 주인공~!!!,"처음엔 정말 허접해 보이지만, 보면 볼수록 빠져드는 매력적인 영화~!!",0.6,0.0,135
379,135,,,보다는 개연성 있는 줄거리와 볼수록 매혹되는 남은 주인공 ~!!!,"사실 처음엔 정말 허접해 보이지만, 보면 볼수록 빠져드는 매력적인 영화 ~!!",,,135
380,135,,,보다는 개연성 있는 줄거리와 볼수록 매혹되는 남은 주인공 ~!!!,"처음엔 정말 허접해 보이지만, 보면 볼수록 빠져드는 매력적인 영화~!!",0.6,0.0,135
381,136,boostcamp-sts-v1-dev-136,nsmc-sampled,확실히 재미는 없당,그나마 첫번째 빼고는 재미도 없다.,2.8,1.0,136
382,136,,,확실히 재미는 없당,그나마 첫번째 빼고는 재미도 별로 없다.,2.8,1.0,136
385,137,,,오늘은 하이브 레코드 ( 전 빅히트 ) 의 미국 자회사인 쏘스뮤직에서 르세라핌 이 첫 곡 낸다고도 하네요.,오늘 르세라핌은 하이브(구 빅히트)의 자회사인 쏘스뮤직에서 첫 번째 곡을 발매한다고 합니다.,4.5,1.0,137
386,137,boostcamp-sts-v1-dev-137,slack-rtt,오늘은 하이브 (전 빅히트) 의 자회사인 쏘스뮤직에서 르세라핌 이 첫 곡 낸다고도 하네요.,오늘 르세라핌은 하이브(구 빅히트)의 자회사인 쏘스뮤직에서 첫 번째 곡을 발매한다고 합니다.,4.5,1.0,137
383,137,,,오늘은 하이브 (전 빅히트) 의 자회사인 쏘스뮤직에서 르세라핌 이 첫 곡 낸다고도 하네요.,"오늘 르세라핌은 하이브 ( 구, 빅히트 ) 의 자회사인 쏘스뮤직에서 첫 번째 곡을 발매한다고 발표 합니다.",4.5,1.0,137
384,137,,,오늘은 하이브 레코드 ( 전 빅히트 ) 의 미국 자회사인 쏘스뮤직에서 르세라핌 이 첫 곡 낸다고도 하네요.,"오늘 르세라핌은 하이브 ( 구, 빅히트 ) 의 자회사인 쏘스뮤직에서 첫 번째 곡을 발매한다고 발표 합니다.",,,137
389,138,,,건전한 국민 연애관을 위해 하트시그널 방송 폐지를 청원합니다.,건전한 사랑관을 위해 하트시그널 방송 폐지를 간절히 청원합니다.,,,138
390,138,boostcamp-sts-v1-dev-138,petition-rtt,건전한 연애관을 위해 하트시그널 방송 폐지를 청원합니다.,건전한 사랑관을 위해 하트시그널 방송 폐지를 청원합니다.,4.2,1.0,138
387,138,,,건전한 연애관을 위해 하트시그널 방송 폐지를 청원합니다.,건전한 사랑관을 위해 하트시그널 방송 폐지를 간절히 청원합니다.,4.2,1.0,138
388,138,,,건전한 국민 연애관을 위해 하트시그널 방송 폐지를 청원합니다.,건전한 사랑관을 위해 하트시그널 방송 폐지를 청원합니다.,4.2,1.0,138
394,139,boostcamp-sts-v1-dev-139,slack-rtt,"OCR 을 포함한 회사와 관련된 주제부터, 서로의 관심사인 운동 이야기까지 공감대가 많았던 대화였습니다 ㅋㅋ",OCR을 비롯해 회사와 관련된 주제부터 상호 관심사에 맞는 스포츠 이야기까지 많은 공감이 가는 대화였다.,4.0,1.0,139
393,139,,,"OCR 을 포함한 각 회사와 관련된 주제부터, 서로의 관심사인 운동 이야기까지 모두 공감대가 많았던 대화였습니다 ㅋㅋ",OCR을 통해 비롯해 회사와 관련된 주제부터 상호의 관심사에 맞는 스포츠 이야기까지 많은 공감이 가는 대화였다.,,,139
392,139,,,"OCR 을 포함한 회사와 관련된 주제부터, 서로의 관심사인 운동 이야기까지 공감대가 많았던 대화였습니다 ㅋㅋ",OCR을 통해 비롯해 회사와 관련된 주제부터 상호의 관심사에 맞는 스포츠 이야기까지 많은 공감이 가는 대화였다.,4.0,1.0,139
391,139,,,"OCR 을 포함한 각 회사와 관련된 주제부터, 서로의 관심사인 운동 이야기까지 모두 공감대가 많았던 대화였습니다 ㅋㅋ",OCR을 비롯해 회사와 관련된 주제부터 상호 관심사에 맞는 스포츠 이야기까지 많은 공감이 가는 대화였다.,4.0,1.0,139
395,140,boostcamp-sts-v1-dev-140,petition-rtt,나경원 당장 짤라라,나경원 파면해주세요,3.6,1.0,140
396,141,boostcamp-sts-v1-dev-141,nsmc-sampled,분을 두시간으로 늘리고싶다면 이 영화를 추천.,인생에서 두시간을 쓰레기통에 버리고싶다면 보세요.,2.8,1.0,141
397,141,,,분을 두시간으로 늘리고싶다면 이 두 영화를 추천.,인생에서 두시간을 쓰레기통에 버리고싶다면 보세요.,2.8,1.0,141
398,141,,,분을 두시간으로 늘리고싶다면 이 영화를 추천.,인생에서 단 두시간을 쓰레기통에 버리고싶다면 보세요.,2.8,1.0,141
399,141,,,분을 두시간으로 늘리고싶다면 이 두 영화를 추천.,인생에서 단 두시간을 쓰레기통에 버리고싶다면 보세요.,,,141
400,142,boostcamp-sts-v1-dev-142,slack-sampled,저도 동일현상이었어요,저도 같은 마음입니다.,1.4,0.0,142
403,143,boostcamp-sts-v1-dev-143,slack-sampled,오늘의 날씨와 잘 어울리는 BGM,와 저도 오늘의 BGM으로…!,1.8,0.0,143
404,143,,,오늘의 날씨와 잘 어울리는 BGM,와 저도 오늘의 마지막 BGM으로 …!,1.8,0.0,143
401,143,,,오늘의 날씨와 잘 어울리는 캠핑 BGM,와 저도 오늘의 BGM으로…!,1.8,0.0,143
402,143,,,오늘의 날씨와 잘 어울리는 캠핑 BGM,와 저도 오늘의 마지막 BGM으로 …!,,,143
405,144,,,자유 한국당에 해산심판 요청,자유한국당 해산심판 청구,3.8,1.0,144
406,144,boostcamp-sts-v1-dev-144,petition-rtt,자유 한국당 해산심판 요청,자유한국당 해산심판 청구,3.8,1.0,144
407,145,,,ㅋㅋ 그때처럼 급속도로 부활하셨습니다,그는 그때만큼이나 빨리 부활했습니다.,3.2,1.0,145
408,145,boostcamp-sts-v1-dev-145,slack-rtt,ㅋㅋ 그때처럼 급속도로 부활하셨습니다,그는 그때만큼 빨리 부활했습니다.,3.2,1.0,145
409,145,,,ㅋㅋ 그때처럼 급속도로 다시 부활하셨습니다,그는 그때만큼이나 빨리 부활했습니다.,,,145
410,145,,,ㅋㅋ 그때처럼 급속도로 다시 부활하셨습니다,그는 그때만큼 빨리 부활했습니다.,3.2,1.0,145
414,146,,,부동산 정책 8. 2 대책 이후,8.2 부동산 대책에 대하여..,2.4,0.0,146
411,146,,,부동산 정책 8. 2 대책 이후,8. 2 부동산 대책에에 대하여..,,,146
412,146,,,부동산 정책 8.2 이후,8. 2 부동산 대책에에 대하여..,2.4,0.0,146
413,146,boostcamp-sts-v1-dev-146,petition-sampled,부동산 정책 8.2 이후,8.2 부동산 대책에 대하여..,2.4,0.0,146
417,147,,,다음에는 좀 좀 더 캐주얼한 내용으로 이야기 나눠요 ~,다음에는 조금 더 일상적이고 재미있는 주제로 대화 나눠요!! ㅎㅎ,,,147
418,147,,,다음에는 좀 좀 더 캐주얼한 내용으로 이야기 나눠요 ~,다음에는 조금 더 일상적이고 재미있는 주제로 대화 나눠요! ㅎㅎ,3.4,1.0,147
415,147,,,다음에는 좀 더 캐주얼한 내용으로 이야기 나눠요~,다음에는 조금 더 일상적이고 재미있는 주제로 대화 나눠요!! ㅎㅎ,3.4,1.0,147
416,147,boostcamp-sts-v1-dev-147,slack-sampled,다음에는 좀 더 캐주얼한 내용으로 이야기 나눠요~,다음에는 조금 더 일상적이고 재미있는 주제로 대화 나눠요! ㅎㅎ,3.4,1.0,147
419,148,,,따뜻한 환한 미소가 너무 좋은 영화,보는 내내 순수한 그 느낌이 너무 좋은 영화,,,148
420,148,boostcamp-sts-v1-dev-148,nsmc-sampled,따뜻한 미소가 너무 좋은 영화,보는 내내 순수한 느낌이 너무 좋은 영화,2.2,0.0,148
421,148,,,따뜻한 환한 미소가 너무 좋은 영화,보는 내내 순수한 느낌이 너무 좋은 영화,2.2,0.0,148
422,148,,,따뜻한 미소가 너무 좋은 영화,보는 내내 순수한 그 느낌이 너무 좋은 영화,2.2,0.0,148
423,149,boostcamp-sts-v1-dev-149,nsmc-sampled,아이들이랑 재미있게 시청했어요,아이가 재미있게 봤어요,3.4,1.0,149
424,150,,,한국에서도 싼 일본 브랜드들이 있어서 왠지 이번 주 금요일 내로 제 방에 찾아올 것 같네요,한국에 싼 브랜드가 있어서 이번 주 안에 돈 내는 방에 올 것 같다.,,,150
425,150,,,한국에서도 싼 일본 브랜드들이 있어서 왠지 이번 주 금요일 내로 제 방에 찾아올 것 같네요,한국에 싼 브랜드가 있어서 이번 주 안에 내 방에 올 것 같다.,3.8,1.0,150
426,150,,,한국에서도 싼 브랜드들이 있어서 왠지 이번 주 내로 제 방에 찾아올 것 같네요,한국에 싼 브랜드가 있어서 이번 주 안에 돈 내는 방에 올 것 같다.,3.8,1.0,150
427,150,boostcamp-sts-v1-dev-150,slack-rtt,한국에서도 싼 브랜드들이 있어서 왠지 이번 주 내로 제 방에 찾아올 것 같네요,한국에 싼 브랜드가 있어서 이번 주 안에 내 방에 올 것 같다.,3.8,1.0,150
428,151,boostcamp-sts-v1-dev-151,petition-sampled,유은혜교육부총리 적극 지지합니다,"비리유치원의 장상화, 유은혜 장관을 지지합니다.",2.8,1.0,151
429,151,,,유은혜교육부총리 적극 지지합니다,"비리유치원의 회장 장상화, 유은혜 장관을 지지합니다.",2.8,1.0,151
433,152,boostcamp-sts-v1-dev-152,petition-sampled,게시판 개편 요청의 건,게시판 기능 개선 요청,3.6,1.0,152
432,152,,,게시판 개편 요청의 한 건,게시판 기능 개선 요청,3.6,1.0,152
430,152,,,게시판 개편 요청의 건,게시판 기능 개선을 요청,3.6,1.0,152
431,152,,,게시판 개편 요청의 한 건,게시판 기능 개선을 요청,,,152
434,153,,,""" 비록 화상이지만 만나봬서 너무 반가웠습니다.",오랜만에 봬서 너무도 반가웠습니다,,,153
435,153,boostcamp-sts-v1-dev-153,slack-sampled,비록 화상이지만 만나봬서 너무 반가웠습니다 .,오랜만에 봬서 너무 반가웠습니다,2.8,1.0,153
436,153,,,비록 화상이지만 만나봬서 너무 반가웠습니다 .,오랜만에 봬서 너무도 반가웠습니다,2.8,1.0,153
