,sentence,sentence_bert,are_equal
2881,어휴 ㅠㅠ 많이 놀라셨겠어요 ㅠㅠ,어휴 ~ ㅠㅠ 많이 놀라셨겠어요 ㅠㅠ,True
2891,어릴적에 누나가 dvd로 빌려왔는데.. 이제는 구하기 어렵네ㅠㅠ,어릴적에 누나가 dvd로 빌려왔는데... 이제는 구하기 어렵네ㅠㅠ,True
2945,150만원 이하 통장압류 금지법 ... 빨리 만들어주세요 ...,150만원 이하 통장압류 금지법... 빨리 만들어주세요....,True
2975,아 끝까지 보지 못한게...,"아, 끝까지 보지 못한게...",True
3032,"사랑과 욕망이 파멸로 치닫는.. 정말 연민이 많이 가는 캐릭터, 강영걸.","사랑과 욕망이 파멸로. 치닫는.. 정말. 연민이 많이 가는 캐릭터, 강영걸.",True
3036,출혈이 너무 심해요. ㅠㅠ.,출혈이 너무 심해요.. ㅠㅠ.,True
3101,서명을 보니 또 1번이 좋아보여요...!!,"서명을 보니, 또 1번이 좋아보여요...!!",True
3149,아 뻔한 스토리 ......ㅡ..ㅡ,아 뻔한 스토리....... ㅡ.. ㅡ,True
3270,존 카펜터식 B급 소동극.,- 존 카펜터식 B급 소동극.,True
3288,친구가 조지아 지인한테 선물 받은걸 저에게 선물했어요 ㅋㅋ,친구가 조지아 지인한테 선물 받은걸 저에게 선물했어요. ㅋㅋ,True
3386,고질라 이후로.. 또 졸아보네.. ㅎㅎ,. 고질라 이후로.. 또 졸아보네.. ㅎㅎ,True
3412,단행본이 아직 완결이 안 되었네요.. 그래도 사놓을게요 ㅋ,. 단행본이 아직 완결이 안 되었네요.. 그래도 사놓을게요 ㅋ,True
3668,편은유덕화 벌레무렸누데왜 안죽지그게의구심이지만 정말액션스케일은 세계최강,편은유덕화 벌레무렸누데왜 안죽지그게의구심이지만 정말액션스케일은? 세계최강,True
3725,빨리 코로나 끝나서 예전처럼 종종 파티했으면 좋겠네요,"빨리 코로나 끝나서 예전처럼, 종종 파티했으면 좋겠네요",True
3761,왜 현대중공업 공자 폐쇠했는데 뉴스에 안나오나요...,. 왜 현대중공업 공자 폐쇠했는데 뉴스에 안나오나요...,True
3785,전미선......당신은 이런 위대한 연기자였군요!,. 전미선...... 당신은 이런 위대한 연기자였군요!,True
3831,"영어 이름뒤에 ‘께’, ‘께서’와 같은 걸 붙일지 말지 입니다.","영어 이름뒤에 ‘ 께 ’, ‘ 께서 ’ 와 같은 걸 붙일지, 말지 입니다.",True
4057,개고기는 개인의 취향일 뿐이지 불법은 아닙니다.,"개고기는 개인의 취향일 뿐이지, 불법은 아닙니다.",True
4094,12번째~~ 이번주는 <PERSON> 님과 함께 했습니다~~,12번째 ~ ~ ~ 이번주는 < PERSON > 님과 함께 했습니다 ~ ~,True
4141,"최종대사 ""짜이찌엔!"", ""빵!"" 정말 감동이었습니다.","최종대사 "" 짜이찌엔! "",, "" 빵! "" 정말 감동이었습니다.",True
4441,오! 빠른 초대 감사드립니다~!!!,오!! 빠른 초대 감사드립니다 ~!!!,True
4477,한 장 손으로 그려 놔야겠어요 ㅎㅎ,한 장 손으로 그려 놔야겠어요. ㅎㅎ,True
4519,꺄아아아 어모나!!!! 너무 예쁘네요!!!!!,! 꺄아아아 어모나!!!! 너무 예쁘네요!!!!!,True
4603,"완전 스토리도 엉망이구, 완전 비추..ㅜ","완전 스토리도 엉망이구,, 완전 비추.. ㅜ",True
4614,참가를 원하시면 3시간 안에 원하는 이모지를 마구마구 달아주세요!!,"참가를 원하시면, 3시간 안에 원하는 이모지를 마구마구 달아주세요!!",True
4653,어머 정말 좋아보여요! ㅋ,어머 정말 좋아보여요!! ㅋ,True
4719,저는 오토보이로 근근히 찍고 있는데...,. 저는 오토보이로 근근히 찍고 있는데...,True
4770,화면도 어둡고 재미도 그다지...,. 화면도 어둡고 재미도 그다지...,True
4948,"오로지 평화통일만을 원한다.""라는 공식적인 성명 들은 후에 교류하세요.","오로지 "" 평화통일만을 원한다. "" 라는 공식적인 성명 들은 후에 교류하세요.",True
5098,해임처분 당한 울산시 공무원 사건 엄정하게 수사해주세요..,"해임처분 당한 울산시 공무원, 사건 엄정하게 수사해주세요..",True
5162,일자리 창출하기 전에 고용촉진지원금 부터 폐지하세요/,/ 일자리 창출하기 전에 고용촉진지원금 부터 폐지하세요 /,True
5165,"역시 기억이 안나지만 재밌다,,,","역시 기억이 안나지만, 재밌다,,,",True
5245,정말 입을 다물수 없을만큼 충격 그자체...,. 정말 입을 다물수 없을만큼 충격 그자체...,True
5264,너무 우울하지만 너무 달달한...,너무. 우울하지만 너무 달달한...,True
5352,장만옥. 이 따위에 출연하다니... 에궁.,. 장만옥. 이 따위에 출연하다니... 에궁.,True
5409,임청정 순수해보이고 풋풋하던 그시절...,임청정. 순수해보이고 풋풋하던 그시절...,True
5449,ㅋㅋㅋ 진짜 시간 가는 줄 몰랐네요,ㅋㅋㅋ ㅋㅋㅋ 진짜 시간 가는 줄 몰랐네요,True
5467,원래 이런거 안남기는데 ㅋ,원래 이런거 안남기는데 ㅋ ㅋ,True
5493,네넵! 혹시 필요하면 말씀드릴께요!,네넵!! 혹시 필요하면 말씀드릴께요!,True
5519,오 뭔가 점점 아빠를 닮아가네요..!,! 오 뭔가 점점 아빠를 닮아가네요..!,True
5548,김정일 사망 7주년 기념행사 추진,北 김정일 사망 7주년 기념행사 추진,True
5653,오오~ 20개면 정말 정말 잘하는 것입니다.,오오 ~ ~ 20개면 정말 정말 잘하는 것입니다.,True
5690,와 진짜 꿀팁.. 얻어갑니다!!!,와 진짜. 꿀팁.. 얻어갑니다!!!,True
5763,"돼지국밥;부추, 밀면 좋죠 ㅎ","; 돼지국밥 ; 부추, 밀면 좋죠 ㅎ",True
5771,재미있게 읽었던 책 공유드립니다 :),재미있게 읽었던 책 공유드립니다. : ),True
5791,ㅎㅎ 이렇게 하면 겨우 516 Cal 소모네요. ㅋㅋ,. ㅎㅎ 이렇게 하면 겨우 516 Cal 소모네요. ㅋㅋ,True
5877,3/5일 온다고 하니 그때부터 더 밝은 표정 보여 드리겠습니다.,"3 / 5일 온다고 하니, 그때부터 더 밝은 표정 보여 드리겠습니다.",True
5929,"우리땅 독도, 우리가 지켜야 합니다.","우리땅, 독도, 우리가 지켜야 합니다.",True
5933,이게 제대로 된 나라인가..,. 이게 제대로 된 나라인가..,True
5949,특히 대사대신 음악쓰는데 지렸음...,. 특히 대사대신 음악쓰는데 지렸음...,True
5995,공포를 원한다면 밤에 거울 앞에서 후래시 번 깜빡여봐라...,. 공포를 원한다면 밤에 거울 앞에서 후래시 번 깜빡여봐라...,True
6013,미녀'는 좀 아니고 걍 '여자 삼총사' ㅋ.,미녀'는 좀 아니고 걍'여자 삼총사 '. ㅋ.,True
6052,대통령님 제발...미세먼지 해결방법을 효과적인걸로...,. 대통령님 제발... 미세먼지 해결방법을 효과적인걸로...,True
6156,뉴스가 오히려 힐링이 된다는 ㅎㅎ,뉴스가 오히려 힐링이 된다는. ㅎㅎ,True
6207,분발해서 찍고 싶어지네요 ㅎㅎ,분발해서 찍고 싶어지네요. ㅎㅎ,True
6288,~~~~~~~~~~~ 가상화폐 ~폐쇄 청원합니다 ~~~~~~~~~~~~~~~~~~~~,~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ 가상화폐 ~ ~ 폐쇄 청원합니다 ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~,True
6337,앗 저도 이거 해봤어요 ㅋㅋ 귀엽 ㅎㅎ,앗 ~ 저도 이거 해봤어요 ㅋㅋ 귀엽 ㅎㅎ,True
6405,"나가야하는데, 제가 지갑을 안가져와서.. ㅜㅜ","나가야하는데,, 제가 지갑을 안가져와서.. ㅜㅜ",True
6435,월요일에 제가 한번 파토내서 오늘 진행하긴 했지만..,. 월요일에 제가 한번 파토내서 오늘 진행하긴 했지만..,True
6451,낄까말까는 무조건 끼는 것으로. ㅋㅋ,낄까말까는 무조건 끼는 것으로.. ㅋㅋ,True
6545,누구를 위한 대체공휴일 인가요? ㅠ,누구를 위한 대체공휴일 인가요?? ㅠ,True
6552,소급 적용은 안되나요? ㅋ,소급 적용은 안되나요?? ㅋ,True
6590,ㅎㅎㅎ 마지막 반전 주의. ㅋ,. ㅎㅎㅎ 마지막 반전 주의. ㅋ,True
6753,만들어주신 배경 잘 쓰고 있습니다 ㅎㅎ,만들어주신 배경 잘 쓰고 있습니다. ㅎㅎ,True
6836,근로자의날 법정 휴일로 정해주세요...,. 근로자의날 법정 휴일로 정해주세요...,True
6878,배슬기 보러 갔다가 잔뜩 실망..,배슬기 보러 갔다가. 잔뜩 실망..,True
6930,앞으로도 같이 즐겁게 일해보아요 (사진 아놔놔..ㅋㅋ,) 앞으로도 같이 즐겁게 일해보아요 ( 사진 아놔놔.. ㅋㅋ,True
7018,어머 저도 그 자리에 있었는데...,"어머, 저도 그 자리에 있었는데...",True
7107,최대한 닮은 꼴로 찾음…. ㅋㅋ,최대한 닮은 꼴로 찾음 ….. ㅋㅋ,True
7202,헉 저는 소식 듣고 들어가자마자 마감 ㅠ,헉! 저는 소식 듣고 들어가자마자 마감 ㅠ,True
7209,우와아 저도 포디움!! 마지막 동메달 가져갑니다:),우와아 저도 포디움!!! 마지막 동메달 가져갑니다 : ),True
7250,이거 10분이상 끼고 있기가 힘들더라고요. ^^,이거 10분이상 끼고 있기가 힘들더라고요.. ^ ^,True
7321,MBTI는 정 반대였습니다. ㅋㅋㅋ,MBTI는 정 반대였습니다.. ㅋㅋㅋ,True
7346,일자리예산은 이제 그만! 현재 중소기업 재직중인 청년입니다.,일자리예산은. 이제 그만! 현재 중소기업 재직중인 청년입니다.,True
7356,오홍 ㅋㅋㅋ 데스커 지금 세일해서 43만원에 겟했어요 ㅎ.ㅎ ㅋㅋ,오홍 ㅋㅋㅋ 데스커 지금 세일해서 43만원에 겟했어요 ㅎ. ㅎ. ㅋㅋ,True
7380,ㅋㅋ 오 안해봤는데 좋습니당!,! ㅋㅋ 오 안해봤는데 좋습니당!,True
7393,소름듣는 대사와..연출..연기...올드보이 인생 여러합작의 진품!!강추!!,. 소름듣는 대사와.. 연출.. 연기... 올드보이 인생 여러합작의 진품!! 강추!!,True
7404,여하튼 모두 몸 건강하시기 바랍니다!,! 여하튼 모두 몸 건강하시기 바랍니다!,True
7551,우왕 점수차 벌리며 1등!!!,우왕! 점수차 벌리며 1등!!!,True
7564,작은 건데 참 설레게 만드는~,작은 건데 ~ 참 설레게 만드는 ~,True
7604,김정은이의 선처에 의한 평화~ 기똥찹니다. !!,~ 김정은이의 선처에 의한 평화 ~ 기똥찹니다.!!,True
7622,아.. 이걸 왜 이제야 봤을까요..,아... 이걸 왜 이제야 봤을까요..,True
7631,ㅋㅋ 커피는 성공적으로 먹었습니다...,ㅋㅋ. 커피는 성공적으로 먹었습니다...,True
7634,형사에겐 디저트가 없다'하고는 또다른 재미가 있네....,형사에겐 디저트가 없다'하고는'또다른 재미가 있네....,True
7789,오호 스피커의 힘?! ㅎㅎ,오호 ~ 스피커의 힘?! ㅎㅎ,True
7791,"일본식.. 고스트.. 아니, 일본판 식스센스~!","일본식.. 고스트... 아니, 일본판 식스센스 ~!",True
7827,저는 카누 들고 가겠습니다!! ㅋㅋ,저는 카누 들고 가겠습니다!!! ㅋㅋ,True
7830,단체 촬영을 도와주실 분을 구함니다...!!!,. 단체 촬영을 도와주실 분을 구함니다...!!!,True
7923,"영덕 수해지역 도와주시고, 특별재난지역 선포 검토해주세요!!","- 영덕 수해지역 도와주시고, 특별재난지역 선포 검토해주세요!!",True
7955,둘이 봉인을 어디서 뜯으려나... 하하하,둘이 봉인을 어디서 뜯으려나.... 하하하,True
7980,시도는 좋았지만 결 국 ... 졸작!,시도는 좋았지만 결 국.... 졸작!,True
8003,근데 인형이 너무 귀엽네요! 코알라라니!!,근데 인형이 너무 귀엽네요!! 코알라라니!!,True
8070,군중심리학 이라는 스테이지인데 못깨고 있어요... ㅋㅋ,ㅋㅋ 군중심리학 이라는 스테이지인데 못깨고 있어요... ㅋㅋ,True
8279,글쎄요... 옛날이나 지금이나 쫌 이상..,글쎄요... 옛날이나. 지금이나 쫌 이상..,True
8341,숨도 안쉬고 끝까지 봤는데 ...,숨도 안쉬고. 끝까지 봤는데...,True
8388,그것은 운명의 데스티니.. 바람의 윈드.. 사막의 데저트… ㅎㅎㅎ,그것은 운명의 데스티니.. 바람의 윈드.. 사막의 데저트 … … ㅎㅎㅎ,True
8416,오오... 마트에서 보고 궁금했는데 도전해봐야겠네요 ㅎㅎㅎ,오오... 마트에서 보고 궁금했는데 도전해봐야겠네요. ㅎㅎㅎ,True
8551,오늘은 ㅈㅔ가~! 으챠 !,오늘은 ㅈㅔ가 ~! 으챠 ~!,True
8655,자른 뒤.. 같이 기르는 것으로...?!,자른 뒤... 같이 기르는 것으로...?!,True
8698,저도 프로젝트가 끝나는 그날을 위해서 참고... 달려볼께요,. 저도 프로젝트가 끝나는 그날을 위해서 참고... 달려볼께요,True
8748,라는 용어를 라고 바꿔 주세요.,. 라는 용어를 라고 바꿔 주세요.,True
8757,우와~~~ 잘 즐기고 몸조심 하셔요,우와 ~ ~ ~ ~ 잘 즐기고 몸조심 하셔요,True
8814,제발 재구속 및 사형 또는 무기징역 처벌!!!,"제발 재구속 및, 사형 또는 무기징역 처벌!!!",True
8826,헉 ㅠㅠ 저도 경보문자받고 걱정... 다들 무사하시길 ㅠㅠㅠ....,헉 ㅠㅠ. 저도 경보문자받고 걱정... 다들 무사하시길 ㅠㅠㅠ....,True
9174,와~~ 빨리 뵙고 싶습니다.,와 ~ ~ ~ 빨리 뵙고 싶습니다.,True
9200,올해 메이저리거 류현진선수 방어률 갑시다. ㄱㄱ,올해 메이저리거 류현진선수 방어률 갑시다.? ㄱㄱ,True
