,sentence,sentence_bert
2987,근데 수업을 들으면서 써야 제대로 쓸 수 있는 것 같아요!,근데 수업을 들으면서 신경 써야 제대로 신경 쓸 수 있는 것 같아요!
2997,굿바이 레닌' 으로 한국에서 사기치기..,굿바이 레닌'으로 한국에서'사기치기..
3003,등교 시간대(7시~8시 30분)의 공사를 제한해주세요,등교 시간대 ( 7시 ~ 8시 30분 ) 의 공사를 최대한 제한해주세요
3006,(현직 변호사) 사법 피해 호소문,"( 현직 변호사 ), 사법 피해 호소문"
3013,국토부와 환경부는 서로 커뮤니케이션이 되는지!,국토부와 환경부는 서로 어떻게 커뮤니케이션이 되는지!
3018,대박…5분대인데 24/46위라니 다들 얼마나 잘 뛰는거죠,대박 … 5분대인데 24 / 46위라니 다들 지금 얼마나 잘 뛰는거죠
3032,단언컨데 기황후와 신의 선물에 치여서 이번주부터 %대 시청률로 꾸준히 갈듯.,단언컨데 기황후와 신의 첫 선물에 치여서 이번주부터 % 대 대 시청률로 꾸준히 갈듯.
3036,방이 너무나 큰것 같습니다. ㅠㅠ,방이 너무나 큰것만 같습니다. ㅠㅠ
3062,한국 스웨덴전 심판좀 어떻게 해주세요 ㅠㅠ,한국전 스웨덴전 심판좀 어떻게 해주세요 ㅠㅠ
3063,딸들을 변호하며 달려왔던 대부분의 시간이 부끄러워질 정도로.,딸들을 변호하며 달려왔던 대부분의 시간이 너무 부끄러워질 정도로.
3094,"제품, 서비스 고도화에 대한 고민, 회사 문화/ 채용과 같은 회사 자체에 대한 Feedback 등 ‘추천’에 국한하지 않고 회사 전반에 대해서 이야기하였습니다.","제품, 서비스의 고도화에 대한 고민, 회사 문화, / 채용과 같은 회사 자체에 대한 Feedback 등 ‘ 추천 ’ 에 국한하지 않고 회사 전반에 대해서만 이야기하였습니다."
3101,왜 인터넷이 또 느린가 하면서 한참을 쳐다봤어요...,왜 인터넷이 또 느린가 하면서 계속 한참을 쳐다봤어요...
3102,ㅋㅋㅋ 내년을 다시 기대하심이....,ㅋㅋㅋ 내년을 또 다시 기대하심이....
3122,무술 꼭 배워보고 싶었는데 시간이 안맞아서 너무 아쉬웠습니다.,무술 꼭 배워보고는 싶었는데 시간이 안맞아서 너무 아쉬웠습니다.
3123,제프 딘이 최근에 TED에서 강연한 영상이 있어서 보게되었습니다.,제프 딘이 가장 최근에 TED에서 강연한 영상이 있어서 보게되었습니다.
3130,42.195는 못하겠지만 건강이라도 챙기자!,물론 42. 195는 못하겠지만 건강이라도 챙기자!
3133,잎들이 꾸겨져서 나는게 너무 신기한 것 같아요.,나무 잎들이 꾸겨져서 나는게 너무 신기한 것 같아요.
3134,그걸 알기 전에.. 알로카시아를 무지 큰 화분에 대차게 분갈이 해준적이 있어요.,그걸 알기 전에... 알로카시아를 무지 큰 화분에서 대차게 분갈이 해준적이 있어요.
3136,출산장려금 지역별 차이 없애주세요,저소득층 출산장려금 지역별 차이 없애주세요
3142,"공무원이 국가 세금 맘대로 사용하고 ,감옥 몇년 가면 없던일이 되는 현실을 공금을 다시 재산 몰수 하는데 서명 해주세요","공무원이 국가 세금 맘대로 사용하고, 감옥 몇년 가면 없던일이 되는 현실을 공금을 다시 국민 재산으로 몰수 하는데 서명을 해주세요"
3149,아 또 보고싶은 영화...,"아, 또 보고싶은 영화..."
3156,살인자도 나름대로 정당성을 항변할 수 있다.,살인자도 나름대로 정당성을 내세워 항변할 수 있다.
3161,식물 관련해서는 죽음의 손이지만.. 이번엔 꼭! 꽃이 피는걸 볼 수 있기를!!,식물 관련해서는 죽음의 두 손이지만.. 이번엔 꼭!! 꽃이 피는걸 볼 수 있기를!!
3168,"비오는 날 무거운 몸을 이끌고, 토요일 저녁 한시간 뛰기 하고 왔습니다.","비오는 날, 무거운 몸을 이끌고, 토요일 저녁 한시간 뛰기 하고 돌아 왔습니다."
3187,"적폐, 불법, 나태 공무원의 처벌은 정확하고 빠르게 해주세요","적폐, 불법 불법, 나태 공무원의 처벌은 정확하고 빠르게 해주세요"
3198,회식금지법 발의 좀 해주세요,회식금지법 발의 좀 꼭 해주세요
3210,전체적인 그림을 파악해야 해당 룰이 왜 생겨났는지 파악하고 관리할 수 있다.,전체적인 그림을 정확히 파악해야만 해당 룰이 왜 생겨났는지 파악하고 관리할 수 있다.
3220,참고로 저는 사업자 아님 ...,참고로 저는 사업자 아님....
3222,회사에서 반바지 입을수 있게 해주세요,회사에서 반바지 입을수가 있게 해주세요
3230,제가 말 안돌렸으면 계속 하셨을듯 합니다.,아마 제가 말 안돌렸으면 계속 하셨을듯 합니다.
3239,<PERSON> 이거 테스트죠 ? ㅋㅋ,이거 < PERSON > 이거 테스트죠? ㅋㅋ
3240,소음 때문에 잠조차 잘 수가 없었다. ㅤㅅㅞㅅ!!,소음 때문에 잠조차 제대로 잘 수가 없었다.!!
3252,모두 이해했다고 할 수있을까?,모두가 이해했다고 할 수있을까?
3255,골프장이 체육시설의 설치이용에 관한 법률 제21조를 준수하게 해주세요,골프장이 체육시설의 설치이용에 관한 법률 제21조를 준수하게끔 해주세요
3270,진부한 호주 관광안내 카탈로그,진부한 호주식 관광안내 카탈로그
3279,얼마전에 저희집 첫째 새끼 때랑 너무 닮은 피규어를 발견해서 모셔온거 자랑,얼마전에 저희집 첫째 새끼 때랑 너무 닮은데 피규어를 발견해서 직접 모셔온거 자랑
3285,"페드로 알모도바르, 또 다른 신세계.","페드로 알모도바르, 또 다른, 신세계."
3286,"CS는 그래서 약간 희귀하기도 하고, 알콜도수도 들쭉날쭉합니다.","CS는 그래서 약간 더 희귀하기도 하고, 알콜도수도 들쭉날쭉합니다."
3288,대학원 후배가 이걸 찾아서 저에게 보내왔어요 ㅋㅋ,대학원 후배가 이걸 찾아서 저에게 보내왔어요. ㅋㅋ
3312,지지층을 모두 적대세력으로 돌리시겠습니까?,지지층을 모두 적대세력으로만 돌리시겠습니까?
3328,패키징의 방식은 아니지만 방향성은 정말 비슷한거 같습니다.,패키징의 접근 방식은 아니지만 방향성은 정말 비슷한거 같습니다.
3337,저 주말에 올리브 집사와 냥집사 타이틀을 동시에 얻었습니다 ㅎㅎㅎ,저 주말에 올리브 집사와 냥집사 타이틀을 동시에 하나 얻었습니다 ㅎㅎㅎ
3354,부동산에 투자 하자는 생각은 이제 그만.,부동산에 투자 하자는 식의 생각은 이제 그만.
3359,아 뭔가 이렇게 꾸준히 한다는게 정말… 존경스럽습니다.,아 뭔가를 이렇게 꾸준히 한다는게 정말 … 존경스럽습니다.
3365,일본계 판타지들은 신비하다기 보단 괴상한 느낌이...,일본계의 판타지들은 신비하다기 보단 괴상한 느낌이...
3378,한국 표준시 뒤집지 마세요.,한국 표준시를 뒤집지 마세요.
3381,(주)아주의대벤처메딕스 ASF닥터에스리 화장품 업체 갑질 고발합니다,( 주 ) 아주의대벤처메딕스 ASF닥터에스리 화장품 업체에 갑질 고발합니다
3383,돌아서면 자라있는 신기한 머리…..ㅎㅎ,돌아서면 자라있는 신기한 내 머리 ….. ㅎㅎ
3386,파도에 또 뭐가 실려올지 모르잖아..,파도에는 또 뭐가 실려올지 모르잖아..
3389,리모션 셀피가 live photo 기능도 제공하네요.,리모션 셀피가 아닌 live photo 기능도 제공하네요.
3412,다띄워놓고 돌려도 아직도 램이 남아요.,그냥 다띄워놓고 돌려도 아직도 램이 남아요.
3414,장애인 활동보조인 부모가할수있게 해주세요,장애인 활동보조인을 부모가할수있게 해주세요
3420,와 다들 나랑 똑같네 ㅋㅋ,와 ~ 다들 나랑 똑같네 ㅋㅋ
3428,개인 파생상품 양도세부과의 합리적인 방안마련을 청원합니다.,개인 파생상품의 양도세부과의 합리적인 방안마련을 청원합니다.
3436,저도 보는 순간 발견했습니다. ㅋㅋ,저도 보는 그 순간 발견했습니다. ㅋㅋ
3445,아이스 코나 라떼 맛집요.,아이스 코나멜 라떼 맛집요.
3451,국민연금 폐지 또는 개편요구(청원 한곳으로 모읍시다),국민연금의 폐지 또는 개편요구 ( 청원 한곳으로 모읍시다 )
3480,요약하신 내용도 잘 볼게요 ㅎㅎ,요약하신 대로 내용도 잘 볼게요 ㅎㅎ
3507,. 분량 시간분.난뭘본걸까? 레이 개실망...,.. 분량 시간분. 난뭘본걸까? 레이 개실망...
3517,이 점을 기억하면서 이번 주말에 나머지 편들을 봐야겠습니다.,이 점을 기억하면서 이번 주말에 나머지 세 편들을 봐야겠습니다.
3518,이선균연기/목소리톤은 맨날 발전이 없다!,이선균연기 / 목소리톤은. 맨날 발전이 없다!
3576,"미투운동을 경,검찰에게 맏기도록 했으면 합니다.","미투운동을 경, 검찰에게 맏기도록 했으면 했으면 합니다."
3586,이나영팬이어서 봤었는데 보고나서 이나영한테 급실망했었다.,"이나영팬이어서 봤었는데, 보고나서 이나영한테 급실망했었다."
3590,더 이상 어떤 당 얘기를 들어주는 것을 못 참겠습니다.,더 이상 어떤 당 얘기를 들어주는 것을 못 참고 참겠습니다.
3601,이번에도 콜라보레이터로 초대드릴 분들 깃허브 아이디 확인 부탁드리겠습니다.,이번에도 콜라보레이터로 초대드릴 분들 깃허브 아이디 확인을 부탁드리겠습니다.
3605,청갤 실명제로 어그로끄는 종자들을 적폐로 규정해주시고 무분별한 비판을 허용해주세요,"청갤 실명제로 어그로끄는 종자들을 적폐로 규정해주시고, 무분별한 비판을 허용해주세요"
3612,우리 회사를 선택한 이유로 캐글할 수 있는 회사! 그리고 우리 회사에서 다양한 데이터를 만져볼 수 있을 것 같다는 것이었다고 합니다.,우리가 회사를 선택한 이유로 캐글할 수 도 있는 회사! 그리고 우리 회사에서 다양한 양의 데이터를 만져볼 수 있을 것 같다는 것이었다고 합니다.
3617,마트 치킨 재 발매 해주세요.,마트 치킨 재방송 발매 해주세요.
3630,경찰은 수배자 건설노조 장옥기를 당장 체포 하십시오!!,경찰은 수배자 건설노조 장옥기를 당장 체포를 하십시오!!
3655,청와대..마지막으로 일 좀 하세요,청와대.. 마지막으로 일 좀 좀 하세요
3661,하지만 나치를 언급할만큼 거대한 디 비전은보이지않고 사람 여러명이서 소꿉놀이하는 것같았습니다.,. 하지만 나치를 언급할만큼 거대한 디 비전은보이지않고 사람들이 여러명이서 소꿉놀이하는 것같았습니다.
3668,정말재밌더라 시온주의의유태인들이 겨우나라얻었는데 상식적으로생각해보면 팔레스타인인들강납정책하는건 어쩔수없다,정말재밌더라 시온주의의유태인들이야 겨우나라얻었는데 상식적으로생각해보면 팔레스타인인들강납정책하는건 어쩔수없다
3671,남성인권 보호를 위해 '꽃뱀 알림 E' 서비스가 필요합니다,남성인권 보호를 위해'꽃뱀 알림 E'라는 서비스가 필요합니다
3678,제발 재난재해 장소에 정치인들 얼굴 내밀지 말았으면 합니다.,제발 재난재해 장소에 정치인들 얼굴 내밀지는 말았으면 합니다.
3682,전 Intro보고 비즈 관련 세션들어가는데 저희가 가려는 방향하고 매우 유사하네요.,전 Intro보고 비즈 관련 세션들어가는데 저희가 가려는 방향하고는 좀 매우 유사하네요.
3684,공공기관 기관장 및 사외이사 낙하산 인사를 금지해주세요.,공공기관 기관장 및 사외이사 낙하산 인사를 전면 금지해주세요.
3695,업타운펑크가 엄청 그루비하게 나와서 놀랐어요ㅋㅋ,업타운펑크가 엄청 그루비하게 잘 나와서 놀랐어요ㅋㅋ
3696,"기존 회사에서 2번과 같이 써왔어서 익숙해서 그냥 그렇게 쓰고는 있는데, 이렇게 쓸때마다 혹시나 불편하게 생각하시는 분이 계실까 싶어서 한 번 더 생각하게 되네요.","기존 회사에서 2번과 같이 써왔어서 익숙해서 그냥 계속해서 그렇게 쓰고는 있는데, 이렇게 쓸때마다, 혹시나 불편하게 생각하시는 분이 계실까 싶어서 한 번 더 생각하게 되네요."
3713,퇴근하고 자기전에보기 무겁지도않고 좋은프로~,퇴근하고 자기전에보기 무겁지도않고 ~ 좋은프로 ~
3724,UI 메뉴에 뭔가 페이지 생성 메뉴가 있을줄 알았는데 안보여서 말씀 드렸어요.,그래서 UI 메뉴에 뭔가 페이지 생성된 메뉴가 있을줄 알았는데 안보여서 말씀 드렸어요.
3725,곧 다가올 여름에는 종종 으로 냉각도 시킵시다,곧 다가올 올 여름에는 종종 으로 냉각도 시킵시다
3745,이재용 검사 상고시 국민재판 청원합니다.,이재용 검사 상고시켜 국민재판 청원합니다.
3748,"북한인민은 잘 살수있다는 희망이라도 있지만, 우리는 노력해도 집한채도 마련못하니 그저 포기하는게 빠를거같습니다.","북한인민은 잘만 살수있다는 희망이라도 있지만, 우리는 노력해도 집한채도 마련못하니 그저 포기하는게 더 빠를거같습니다."
3753,일회용 플라스틱이 진정 문제인가요?,일회용 플라스틱이 진정한 문제인가요?
3761,명분 없는 KBS시청료 왜 ? 강제로 걷나요~~,명분도 없는 KBS시청료 왜? 강제로 걷나요 ~ ~
3763,제가 내준 최고난이도 수학문제 붙잡고 씨름하는 딸의 모습 ㅋ,제가 내준 최고난이도 수학문제 붙잡고 씨름하는 딸의 모습. ㅋ
3777,여기가 TDN성님이 나온다던 그 영화인가요?,그런데 여기가 TDN성님이 나온다던 그 영화인가요?
3785,견자단 형님.... 왜 이렇게 실력이 녹슬었어요?? ㅠ,견자단 형님.... 왜 이렇게 제 실력이 녹슬었어요?? ㅠ
3786,준비해주신 분들 다들 감사드려요!!,잘 준비해주신 분들 다들 감사드려요!!
3794,요청 받으시면 내용 공유 부탁드립니다!,확인 요청 받으시면 내용 공유 부탁드립니다!
3795,국회의원(선출직) 사퇴시 선거비용 배상하라.,국회의원 ( 선출직 ) 사퇴시 선거비용을 배상하라.
3799,정신적 심신 미약이다' 라는 말로 처벌이 줄어들면 안됩니다.,정신적 심신의 미약이다'라는 말로 처벌이 줄어들면 안됩니다.
3808,외국인을 원하다면 나라 팔아요,외국인을 원하다면 나라를 팔아요
3817,예전에 11대였는데 현재 9대라서요~,예전에는 11대였는데 현재 9대라서요 ~
3831,"ㅋㅋ ‘갑서‘, ‘가게마씸’ 뉘앙스 차이 검증 했습니다","ㅋㅋ ㅋㅋ ‘ 갑서 ‘, ‘ 가게마씸 ’ 뉘앙스 차이 검증 했습니다"
3835,더불어민주당은 남북경협이 황금알을 낳는 거위라는것을 알고 게시나요?,더불어민주당은 남북경협이란 황금알을 낳는 거위라는것을 알고 게시나요?
3840,당신은 바다에서 올라올 이유가 있나요?,당신은 이 바다에서 올라올 이유가 있나요?
3855,두자매 JTBC 스포라이트로 비춰 주세요...,두자매 JTBC 스포라이트로 다시 비춰 주세요...
3856,그냥 마시자마자 물 가득 채워놔요 ㅋㅋ,그냥 마시자마자 뜨거운 물 가득 채워놔요 ㅋㅋ
3858,앞으로 우리국민들은김정은에게 머리를 조아리며 살아야 됩니다,앞으로 우리국민들은김정은에게서 머리를 조아리며 살아야 됩니다
3859,"저도 클라이밍 해보고 싶었는데, 좋은 기회 감사합니다ㅎㅎ","저도 클라이밍 해보고 싶었는데, 좋은 기회로 감사합니다ㅎㅎ"
3866,현재 참여 기업을 모집하고 있습니다.,현재 참여 기업을 많이 모집하고 있습니다.
3868,정부정책의 풍선효과 제어력을 키워주세요,정부정책의 풍선효과와 제어력을 키워주세요
3877,이땅의 버려진 애국지사 후손들을 방치하는 것은 역사에 죄를 짓는것이라 생각합니다,이땅의 버려진 애국지사 후손들을 그대로 방치하는 것은 대한민국 역사에 죄를 짓는것이라 생각합니다
3888,허걱.. 요즘 제가 골초가 된 듯 ㅠㅠ,허걱.. 요즘 제가 골초가 된 듯. ㅠㅠ
3889,평범한 영화는 만들어낼 수 없는 구로사와의 재능!,그러나 평범한 영화는 만들어낼 수 없는 구로사와의 재능!
3910,ㅋㅋ 웃느라 얼굴 망가진걸 이렇게 가려주셨군요,ㅋㅋ 웃느라 얼굴 망가진걸 이렇게 다 가려주셨군요
3912,이번 간호사 처우 개선안에 대해 반대합니다.,이번 간호사 처우 개선안에 이에 대해 반대합니다.
3916,오! 저도 요즘 다양한 요리에 도전중인데 멋져요!!,! 오! 저도 요즘 다양한 요리에 도전중인데 멋져요!!
3921,쑈를 하라! 쑈! 쑈! 쑈!,쑈를 하라!! 쑈! 쑈! 쑈!
3954,저희 집 냥이면 좋겠지만 인터넷에서 찾은 짤이에요,저희 집 냥이면 좋겠지만 인터넷에서 많이 찾은 짤이에요
3957,정말 알면알수록 역겨운 연예인!,! 정말 알면알수록 역겨운 연예인!
3983,올해 한국 사극영화들 왜이럼?,- 올해 한국 사극영화들 왜이럼?
3989,밥과 물을 멀리 떨어뜨려보시는 것을 추천!,밥과 함께 물을 멀리 떨어뜨려보시는 것을 추천!
4002,외관에서 느껴진 불안함은 실내 분위기와 음식맛으로 모두 불식 되었습니다.,외관에서 느껴진 모든 불안함은 실내 분위기와 음식맛으로 모두 불식 되었습니다.
4011,ㅋㅋ요즘 영화만 보다가 이걸보니 신선하네요,ㅋㅋ요즘은 영화만 보다가 이걸보니 신선하네요
4015,옛날에 봤는디.. 얘기좀 진행되나 싶더니 끝=_=,옛날에 처음 봤는디.. 얘기좀 진행되나 싶더니 끝 = _ =
4016,여지껏 봤던 단편에서 가장 잘 잡힌 케릭터!,"여지껏 봤던 단편에서, 가장 잘 잡힌 케릭터!"
4020,두 대표 섹시배우가 모였는데도 그리 섹시하지 않는다,두 대표 섹시배우가 모였는데도 그리 많이 섹시하지 않는다
4024,요렇게 수작업 줄여주는게 기술의 힘?,그럼 요렇게 수작업 줄여주는게 기술의 힘?
4055,청와대는 고등학교들의 야간자율학습하지 않게 해주세요.,청와대는 고등학교들의 야간자율학습하지 않게 조치 해주세요.
4057,작가는 가난을 먹고 살지 않습니다.,작가는 결코 가난을 먹고 살지 않습니다.
4075,미용업계에 현실에 대해서 말씀드립니다.,미용업계에 현실에 대해서 많이 말씀드립니다.
4077,너무 어거지 설정과 매끄럽지 못한 연출,너무 어거지 설정과 매끄럽지 못한 캐릭터 연출
4094,처음부터 이름과는 반대로 달달한 ph-1~~,처음부터 이름과는 전혀 반대로 달달한 ph - 1 ~ ~
4100,같이 기획해보아요! : ),같이 기획해보아요!! : )
4101,박 일 보다 낫네요.,박 씨 일 보다 낫네요.
4102,3.3% 프리랜서 학원종사자 종소세 및 실업급여 관련,3. 3 % 프리랜서 학원종사자 종소세제 및 실업급여 관련
4105,진짜 내가 이종현이랑 강민혁볼라고사서봤긴봤는데 이건좀 아니다.,진짜 내가 이종현이랑 강민혁볼라고사서봤긴봤는데. 이건좀 아니다.
4118,게임 확률 데이터 공개,온라인 게임 확률 데이터 공개
4123,저 진짜 셔츠 구매하고 싶어요..!,저는 진짜 셔츠 구매하고 싶어요..!
4128,4조원대 도박사이트 한국총책임자 제보,4조원대 도박사이트에 한국총책임자 제보
4132,사진으로 확인할 수 없지만 잭슨피자였습니다..,직접 사진으로 확인할 수 없지만 잭슨피자였습니다..
4141,"세기 ""레니 할린, 작품은 ""마인트헌터, 뿐인가!? 연출이 tv판 수준!",""" 세기 "" 레니 할린, 작품은 "" 마인트헌터, 뿐인가!? 연출이 tv판 수준!"
4144,이것도 그렇고 주유소 습격사건도 그렇고.......,"이것도 그렇고, 주유소 습격사건도 그렇고......."
4150,국회 한전주주 더 이상 못살겠다 국토부 전수조사 해주세요.,국회 한전주주 더 이상 못살겠다 국토부가 전수조사 해주세요.
4170,저도 들어가서 응원하도록 하겠습니다.,저도 들어가서 응원하도록 열심히 하겠습니다.
4171,일 하려고 내보내니 다시 안아달라고 우는...,일 하려고 내보내니 다시 안아달라고 엉엉 우는...
4179,그럼 내일 우리팀은 무조건 이기는 겁니다.,"그럼, 내일 우리팀은 무조건 이기는 겁니다."
4181,저요!!! 어제부터 보는데 엄청 빠져들고 있어요 ㅋㅋ,아 저요!!! 어제부터 보는데 엄청 빠져들고 있어요 ㅋㅋ
4202,"이시대에 여성인권에 필수적인, 여성인권을 위하여...","이시대에 여성인권에 필수적인, 여성인권을 찾기 위하여..."
4251,중국도 아니고 정부가 인터넷 검열하는게 말이됩니까,중국도 아니고 정부가 인터넷 검열하는게 무슨 말이됩니까
4270,여수화양농공단지 공기오염 해결과 학교석면제거작업의 철저화 촉구,여수화양농공단지 공기오염 해결과 학교석면제거작업의 철저화를 촉구
4271,마치 제 미래 이야기 같네요.. ㅎㅎ,마치 이게 제 미래 이야기 같네요.. ㅎㅎ
4289,"이로써 구성원 모두가 가장 최신의 회사의 비전, 미션, 밸류, 방향, 제품 등을 이해하고, 내/외부와 공통 선상에서 커뮤니케이션이 가능해 지는 효과가 발생합니다.","이로써 구성원 모두가 각각 가장 최신의 회사의 비전, 미션, 밸류, 방향, 제품 등을 이해하고, 내 / 외부와 공통 선상에서 커뮤니케이션이 가능해 지는 시너지 효과가 함께 발생합니다."
4298,송전탑 직선거리 220m앞 공립유치원.초등학교.중학교 2천명 학생들...안전하다고 합니다.ㅠㅠ,송전탑 직선거리가 220m앞 공립유치원. 초등학교. 중학교 2천명 학생들... 안전하다고 합니다. ㅠㅠ
4316,세상에 큰일 날 뻔 했네요!!,세상에 큰일 날 뻔도 했네요!!
4318,개헌안 발의에 대해 청원합니다.,대통령 개헌안 발의에 대해 청원합니다.
4321,아니면 관세법이 잘못 된 것인가요?,아니면 관세법이 좀 잘못 된 것인가요?
4333,오~ 한개 뿌리에 저 정도 달린건가요?,오 ~ 한개 뿌리에 저 정도 정도 달린건가요?
4334,주목 받으면 힘들어한다고 하시니 주목이 필요할땐 저를 찾아주세요ㅎㅎ,주목 받으면 힘들어한다고 하시니 주목이 필요할땐 꼭 저를 찾아주세요ㅎㅎ
4335,교육제도 그만 바꿔주세요..혼란이 너무 큽니다,교육제도 그만좀 바꿔주세요.. 혼란이 너무 큽니다
4336,우리는 떠나는 새가 아니라 새가 앉아 쉴 수 있는 나무가지 입니다,우리는 그냥 떠나는 새가 아니라 새가 앉아 쉴 쉴 수 있는 나무가지 입니다
4343,미군 주둔 비용 협상과 북한 비핵화 제재 엇박자,미군 주둔 비용 협상과 북한의 비핵화 제재 엇박자
4344,삼청동에는 힙한 곳이 많군요...,. 삼청동에는 힙한 곳이 많군요...
4352,사건이 해결되지 않은 몰카 피해자입니다.,사건이 해결되지 않은 채 몰카 피해자입니다.
4363,막장 가족들의 어이없는 .....행동들이 무척이나 불편했다!,막장 가족들의 어이없는 행동..... 행동들이 무척이나 불편했다!
4364,하물며 옆에보고있던 어린애들도 웃지않더라,그런데 하물며 옆에보고있던 어린애들도 웃지않더라
4368,편 보다 못한내용과 설정..,편 보다 못한내용과의 설정..
4377,해보니 글자는 안되고 사람모양? 만 디텍팅해서 증강현실로 만들어줘요.,해보니 글자는 안되고 사람모양? 만을 디텍팅해서 증강현실로 만들어줘요.
4382,뭐 어디서 놀라고 무서워해야하는거냐?,뭐 어디서 놀라고 나서 무서워해야하는거냐?
4396,혹시 참여의사가 있지만 12월 3일 금요일 저녁 안되시는분 있을까요?!~,혹시 참여의사가 좀 있지만 12월 3일 금요일 저녁 안되시는분 있을까요?! ~
4404,말씀 나누다보니 작년 9월에 들어오셨던데 체감하는 바는 최소 2년은 함께 하신듯한 느낌입니다!,말씀 나누다보니깐 작년 9월에 들어오셨던데 체감하는 느낀 바는 최소 2년은 함께 하신듯한 느낌입니다!
4423,인터넷 휴대폰 구입시 정말 아쉬운 부분,인터넷 휴대폰 구입시 정말 아쉬운 부분 부분
4426,아무리 법으로 친권 양육권이 없더라도 당신은 부모입니다,아무리 법으로 친권 양육권이 따로 없더라도 당신은 부모입니다
4427,자 이제 시작이야 짤 넘나 적절! ㅋㅋㅋ,자 이제 시작이야 짤 넘나 딱 적절! ㅋㅋㅋ
4433,up로고를 활용해서 UP이 들어간 다양한 문구도 좋을 것 같아요!,up로고를 활용해서 UP이 들어간 더 다양한 문구도 좋을 것 같아요!
4439,이 게임도 추천드려요 ㅎㅎ,이 게임도 추천드려요. ㅎㅎ
4441,오 ㅎㅎ 전 좋아요!!!,오 ㅎㅎ 전 너무 좋아요!!!
4455,아직 잘 되지는 않더군요 ㅋㅋ,아직 잘 되지는는 않더군요 ㅋㅋ
4456,2019년 1월1일 신년특집 JTBC뉴스룸을 청와대에서 방송해주세요,2019년 1월1일 신년특집 JTBC뉴스룸을 청와대에서 바로 방송해주세요
4461,반민족행위특별조사위원회를 다시 가동하여 주세요,반민족행위특별조사위원회를 다시금 가동하여 주세요
4463,증권사도 개혁해야 투자 활성화로 경제활동 좋아질듯,증권사도 개혁해야 … 투자 활성화로 경제활동 좋아질듯
4464,통신사 포인트 차라리 불우이웃에게라도 쓸수있게해주세요,통신사의 포인트 차라리 불우이웃에게라도 쓸수있게해주세요
4468,한번 더 하면 1로 바뀌는 군요..,그런데 한번 더 하면 1로 바뀌는 군요..
4477,그래도 한 대 더 찾아야해요 ㅎㅎ,그래도 한 대는 더 찾아야해요 ㅎㅎ
4499,오늘 쉬는 날이었군요? ㅠㅠ,오늘 쉬는 날이었군요?? ㅠㅠ
4503,날씨 조금만 따뜻해지면 진짜 고고 하시죠!!!!!!,날씨 조금만 따뜻해지면 진짜 빨리 고고 하시죠!!!!!!
4519,샌프란에서 모히또 너무 좋은데요!!?,샌프란에서 모히또 너무 너무 좋은데요!!?
4520,대출규제 더 강하게 해야합니다 !!!!,대출규제 더 더 강하게 해야합니다!!!!
4531,제가 호스트하니 시간되시면 오셔도 좋습니다.,물론 제가 호스트하니 시간되시면 오셔도 좋습니다.
4558,제 눈에 몇몇개는 그래도 괜찮아 보이는… ㅋㅋㅋ,제가 눈에 몇몇개는 그래도 괜찮아 보이는 … ㅋㅋㅋ
4573,"문재인정권은 빨리 김기식 사임 발표하시오,","문재인정권은 하루 빨리 김기식 사임 발표하시오,"
4574,학교에도 직장 어린이집을 신설해주세요,학교에도 직장형 어린이집을 신설해주세요
4576,"평창 올림픽 오뎅호떡 가격 논란,호떡 2개 5000원","평창 올림픽 오뎅호떡 가격 논란, 호떡 2개에 5000원"
4578,국가원수에 대한 예의에 어긋나는 글은 원천 차단해 주세요.,국가원수에 대한 예의에 어긋나는 이 글은 원천 차단해 주세요.
4584,이 느린 이야기가 세계 감독들이 뽑았던 영화 역사상 최고의 영화일 수 있는 것은 모두의 잃어버린 세계이기 때문,이 느린 이야기가 세계 감독들이 뽑았던 영화 역사상서 가장 최고의 영화일 할 수 있는 것은 모두의 잃어버린 세계이기 때문
4585,여객기를 국내 제작하여 조선소의 인력을 흡수하고 고용 창출 해주세요,여객기를 국내 제작하여 조선소의 인력을 흡수하고 고용 창출을 해주세요
4600,"가본적 없는 그곳의 향수 , 느낌......그립다!","지금껏 가본적 없는 그곳의 향수, 느낌...... 그립다!"
4601,지지율이 40% 대라고 ?? 믿을수없다!!,지지율이 40 % 대라고??? 믿을수없다!!
4603,완전 대박 불쌍함 여자..ㅠㅠ%,완전. 대박 불쌍함 여자.. ㅠㅠ %
4609,왜 인간은 인간답지 못한 행동을 반복하며 살아가는것일까...???,대체 왜 인간은 인간답지 못한 행동을 반복하며 살아가는것일까...???
4613,"건강의 중요성, 스트레스 해소법, 음식 얘기, MBTI 등 다양한 주제로 얘기를 나눴고 너무 즐거운 시간이었습니다! ㅎㅎ","건강의 중요성, 스트레스 해소법, 음식 얘기, MBTI 분석 등 다양한 주제로 얘기를 나눴고, 너무 즐거운 시간이었습니다! ㅎㅎ"
4614,"ㅠㅠㅋㅋㅋ 마지막 쯤에 _""절대 아니라구 옷 마구마구 사더니 그걸 아직도 입어요","ㅠㅠㅋㅋㅋ 마지막 쯤에 _ "" 절대 아니라구 옷을 마구마구 마구 사더니 그걸 아직도 입어요"
4621,저도 이번 달의 언젠가 졸업합니다..!,저도. 이번 달의 언젠가 졸업합니다..!
4622,@기가막힌 배달음식 아시는 분들,@ 기가막힌 배달음식 아시는 모든 분들
4625,처음부터 나오는 성형언니들 드립부터 너무 황당ㅋ,처음부터 나오는 성형언니들 드립부터 너무도 황당ㅋ
