,sentence_1,sentence_1_bert
2466,부동산의 호가 올리기 실태 조사 부탁해요..,부동산의 호가 올려 올리기 실태 조사 부탁해요..
2468,이명박 죄가 확정되면 구속은 물론 예우박탈 청원합니다.,이명박 죄가 확정되면 구속은 물론 예우박탈을 청원합니다.
2474,단한곳. 단한명이서시간분동안 딴짓을 못하게 한다.,> 단한곳. 단한명이서시간분동안 딴짓을 못하게 한다.
2479,이제 메일 출근 하시나요?,이제 메일로 출근 하시나요?
2485,"오, 캡틴! 마이 캡틴!","오, 마이 캡틴! 마이 캡틴!"
2489,왠 컬트무비? 환상여행? 이라기보담 이정도 되면 컬트에 가까움,왠 컬트무비? 환상여행?? 이라기보담 이정도 되면 컬트에 가까움
2491,서울시 종로구에 위치한 동성고등학교의 불량교사를 처벌하길 원합니다,서울시 종로구에 위치한 동성고등학교의 불량교사를 강력히 처벌하길 원합니다
2492,편 다 보면서 한번도 눈을 뗀적이 없네요 ㄷㄷ,편을 다 보면서 한번도 눈을 뗀적이 없네요 ㄷㄷ
2494,바쁘실텐데 완전 유익하게 잘 들었어요.,바쁘실텐데 완전 아주 유익하게 잘 들었어요.
2498,무비자 체류 시스템 규정을 수정,무비자 체류 시스템 규정을 대폭 수정
2499,그래도 최하 점부터 시작하니 별은 붙는구나..호,그래도 최하 점부터 돌기 시작하니 별은 붙는구나.. 호
2505,"우선 오늘 새롭게 오픈된 ""AI 교육 콘텐츠 개발/운영 매니저"" JD 공유 드립니다!!","우선 오늘 새롭게 오픈된 카페 "" AI 교육 콘텐츠 개발 / 운영 매니저 "" 와 JD 공유 드립니다!!"
2510,대통령님..요즘 왜이러세요. 인사검증 싫망입니다,대통령님.. 요즘은 왜이러세요. 인사검증 싫망입니다
2515,지칠줄 모르는 상투성... 이것도 작가라면 작가랬다.,지칠줄을 모르는 상투성... 이것도 작가라면 작가랬다.
2516,엘사라고 하시니 겨울왕국이 떠오르네요 ㅋㅋ,엘사라고도 하시니 겨울왕국이 떠오르네요 ㅋㅋ
2520,야성장애인어울림센터 사업 확대 를 바랍니다.,야성장애인어울림센터 사업 확대 검토 를 바랍니다.
2521,제2의 벤처붐으로 창업자에게 실질적인 도움이 되었으면합니다.,부디 제2의 벤처붐으로 창업자에게 실질적인 도움이 되었으면합니다.
2523,한국당 '의원정수 200명으로 줄이자',한국당이'의원정수 200명으로 줄이자 '
2529,유튜브 가짜 뉴스를 관리해 주십시오,유튜브 가짜 뉴스 뉴스를 관리해 주십시오
2536,역시 트리 해체 안하길 잘했어,역시 트리 해체는 안하길 잘했어
2551,"운치를 추구하며 테라스에서 먹었는데,","운치를 최대한 추구하며 테라스에서 먹었는데,"
2553,기타노의 색이 유난히 잘 표현된 영화다.,기타노의 색이 가장 유난히 잘 표현된 영화다.
2559,저는 농구파이긴 한데... 내기 걸리면 다 합니다 ㅋㅋ,저는 농구파이긴도 한데... 내기 걸리면 다 합니다 ㅋㅋ
2562,진짜 볼때마다 저 심장 아파요,저 진짜 볼때마다 저 심장 아파요
2573,고질라 레이저 빔 슈슈슈슛,고질라 레이저 빔 레이저 슈슈슈슛
2578,역시나 오프로 처음 보는 분들이 많다는게 신기;;;,역시나 오프로 처음 보는 분들이 많다는게 너무 신기 ; ; ;
2590,1원도 못받는 것으로 넣어 주시면 되겠습니다.,그럼 1원도 못받는 것으로 넣어 주시면 되겠습니다.
2609,웃는 모습 천사 ㅠㅠ,웃는 모습 천사님 ㅠㅠ
2614,우.. 아..! 음식들 때깔이 장난 아니네요…!,우... 아..! 음식들 때깔이 장난 아니네요 …!
2621,이것도 꼭 투표 부탁드립니다 :),"이것도, 꼭 투표 부탁드립니다 : )"
2643,마지막에 갑자기 러시아어 할때 멘붕 쓰나미.,마지막에 갑자기 러시아어를 할때 멘붕 쓰나미.
2646,헤어지고 나서 한번도 안나옴..;;ㅋㅋ,헤어지고 나서는 한번도 안나옴.. ; ; ㅋㅋ
2648,저희는 갈치정식 2개 주문해서 먹었어요.,저희는 갈치정식을 2개 주문해서 먹었어요.
2653,철도사업을 하되 B/C가 0.5이상만 나와도 무조건 경제성이 있게 해 주십시오.,철도사업을 하되 B2 / C가 아닌 0. 5이상만 나와도 무조건 경제성이 있게 해 주십시오.
2656,안본 사람은 있어도 한번만 본사람은 없다는 그 전설의 애니인가? ㅋ,ㅋ 안본 사람은 있어도 한번만 본사람은 없다는 그 전설의 애니인가?? ㅋ
2661,오 바로 대기 신청했습니다,오면 바로 대기 신청했습니다
2664,송중기 내레이션 이라고 보는 사람 진짜 짜증난다.,송중기 내레이션 이라고 해서 보는 사람 진짜 짜증난다.
2666,게임물 관리 위원회 일명 게등위에 관한 감사를 신청합니다,게임물 관리 위원회 일명 게등위에 이에 관한 감사를 신청합니다
2675,모기.. 오늘은 꼭 잡고 숙면하겠습니다!,모기.. 오늘은 모기 꼭 잡고 숙면하겠습니다!
2688,장애인들에게 정식 사과하고 인권교육 받으세요,제발 장애인들에게 정식 사과하고 인권교육 받으세요
2689,워낙 어린아이들이 많이봐서 시끄럽긴했지만요...ㅎ,워낙 어린아이들이 너무 많이봐서 시끄럽긴했지만요... ㅎ
2701,저 가고 싶긴 한데 여러분들 산소부족이 염려됩니다,저 가고는 싶긴 한데 여러분들 산소부족이 염려됩니다
2719,아마도 저런 것들을 깨닫게 된 것은 시력이 나빠지신 이후시겠죠?,아마도 저런 것들을 깨닫게 된 것은 시력이 나빠지신 분 이후시겠죠?
2721,꼭 여행 가는 걸로!,꼭 여행 가는 그런 걸로!
2723,톡톡교육연구개발원에서 진행하는 법정의무교육 관련,톡톡교육연구개발원에서 진행하는 ‘ 법정의무교육 관련
2726,아직 줌이 안열린거죠?? ㅇㅅㅇ,근데 아직 줌이 안열린거죠?? ㅇㅅㅇ
2734,"오오... 네 따로 검색해서 잘 공부해볼게요,",". 오오... 네 따로 검색해서 잘 공부해볼게요,"
2737,오~~ 이거 뭔가요~~~~~~~~~ 빅엿~빅엿~,오 ~ ~ 이거는 뭔가요 ~ ~ ~ ~ ~ ~ ~ ~ ~ 빅엿 ~ 빅엿 ~
2744,"업무를 진행하다 보면, 스스로 진행할 일이 무엇이고, 시간을 어느정도 할애하는 지를 tracking하는 것이 참 중요한 것 같습니다.","업무를 잘 진행하다 보면, 스스로 진행할 할 일이 무엇이고, 그 시간을 어느정도 할애하는 지를 tracking하는 것이 참 중요한 것 같습니다."
2773,정봉주와 여기자의 진실 또는 거짓에 대한 청원,ⓒ 정봉주와 여기자의 진실 또는 거짓에 대한 청원
2775,우리 모두 대박 나길 바라며!,우리 모두 대박 나길 간절히 바라며!
2776,초등생 심리치료 지원사업 장애아이가 아니어도,초등생 심리치료 지원사업은 장애아이가 아니어도
2782,기간제 정리하고 정규직 채용이 일자리 창출인가요!!!,"기간제 정리하고, 정규직 채용이 일자리 창출인가요!!!"
2783,체육인 및 연예인 군면제에 대해서...제안,체육인 및 유명 연예인 군면제에 대해서... 제안
2799,어머나 저도 순대국밥 찐팬인데!,어머나 저도 순대국밥의 찐팬인데!
2806,저도 홍콩에서 리콜 받았어요 ㅎ,저도 홍콩에서 리콜 받았어요. ㅎ
2816,오.. 맛있을 것 같아요!,. 오.. 맛있을 것 같아요!
2825,이정도면 잘 만들어진 속편,이정도면 잘 만들어진다 속편
2837,사기 한번 치면 될 것을ㅋㅋ,사기 한번 치면 될 거란 것을ㅋㅋ
2839,또 할 수 있는지 시험합니다.,또 어떻게 할 수 있는지 시험합니다.
2840,휴지덮고 자다가 놀라는 쥐표정 >.< 아직도 안잊혀지는ㅎㅎ,휴지덮고 자다가 깜짝 놀라는 쥐표정 >. < 아직도 안잊혀지는ㅎㅎ
2844,음.. YP 같은 느낌도 듭니다 ㅠ,. 음.. YP 같은 느낌도 듭니다 ㅠ
2845,오스틴파워가 차를 돌리기 위해 앞뒤로 왔다갔다 하는데서 완전 쩔었음,오스틴파워가 차를 돌리기 위해 앞뒤로 왔다갔다를 하는데서 완전 쩔었음
2846,미국의 제 51번째주로 들어가는게 생각좀 해보시죠?,그럼 미국의 제 51번째주로 들어가는게 생각좀 해보시죠?
2849,저는 황금볶음밥이 편해서 자주 먹고..,저는 황금볶음밥이 편해서 자주 안 먹고..
2854,지금까지 미국이 내머리속을 지배했다는생각에 화가난다...,지금까지 미국이 내머리속을 지배했다는생각에 매우 화가난다...
2867,참 미안한 마음이 많이 드는 비디어 네요.,참 미안한 마음이 많이 드는 그런 비디어 네요.
2881,제가 아무말이나 해도 너무 웃어주셔서…,제가 이렇게 아무말이나 해도 너무 웃어주셔서 …
2882,오토바이 전 세계 자유로 자동차 폐지 요청,"오토바이 전, 세계 자유로 자동차 폐지 요청"
2891,어릴때 감동에 파도가 쳤었는데....수남이 목소리 김용건씨가 한거 아닌가요??,어릴때 감동에 파도가 쳤었는데.... 수남이 목소리 김용건씨가 잘못 한거 아닌가요??
2897,양봉 하시는 분 때문에 이제 정신적 고통까지 받고있습니다.,양봉을 하시는 분 때문에 이제 정신적 고통까지 받고있습니다.
2898,다중지능이론을 교육에 전면도입하길 청원합니다,다중지능이론을 교육에서 전면도입하길 청원합니다
2908,그냥 이 말씀이 떠오르면 마음의 온도가 1도 오르며 안정적 바이브를 찾고 다시 생각해볼 힘이 되는 것 같아요.. ㅎㅎ,"그냥 이 말씀이 다시 떠오르면 마음의 온도가 1도 오르며, 안정적 바이브를 다시 찾고 다시 생각해볼 힘이 되는 것 같아요.. ㅎㅎ"
2912,"눈온뒤 3~4일 이내에 도로 통제 풀렸을 때 정도 잘 맞추면 가능한데, 육지에서 오면 조건 맞춰서 타이밍 잡기가 쉽지는 않을 것 같기도 하네요..ㅎㅎ","눈온뒤 3 ~ 4일 이내에 도로 통제 풀렸을 때 어느 정도 잘 맞추면 가능한데, 육지에서 오면 조건 맞춰서 타이밍을 잡기가 쉽지는는 않을 것 같기도 하네요.. ㅎㅎ"
2915,아래 notion 에 사용 신청 가이드 문서를 작성했습니다.,아래 notion 에 사용 신청 가이드가 문서를 작성했습니다.
2920,후반의 하니 노래 우려먹기 약간은 애교로 봐줄 수 있음,후반의 하니 노래 우려먹기 약간은 그냥 애교로 봐줄 수 있음
2931,앗. 아깝게 miss했습니다. (저도 초대가 안되었습니다.),앗. 아깝게 miss했습니다. 아 ( 저도 초대가 안되었습니다. )
2933,수능 난이도를 낮춰주시길 바랍니다..,수능 난이도를 대폭 낮춰주시길 바랍니다..
2934,음주운전도 중요하지만 졸음운전 노약자나 심신미약자 운전미숙도 좀 중요시합시다.,"음주운전도 중요하지만, 졸음운전 노약자나 심신미약자 운전미숙도 좀 중요시합시다."
2937,"다음 미팅이 있어서 이야기 나누다가 허겁지겁 마무리 했는데, 담에 오피스에서 만나서 맛있는 식사 하면서 또 이야기 나눠요!","다음 미팅이 있어서 이야기 나누다가 허겁지겁 대충 마무리 했는데, 담에 오피스에서 만나서 아주 맛있는 저녁 식사 하면서 또 이야기 나눠요!"
2945,제발 경기지역 골고루 차도에 자전거도로좀 깔아주세요...,제발 경기지역 골고루 차도에 자전거도로좀 잘 깔아주세요...
2947,대한민국 모든 기술자는 기술자를 관리한다고 하는 관리기관과 협회가 등골을 빼먹는 기관입니다,대한민국 모든 모든 기술자는 기술자를 관리한다고 하는 관리기관과 협회가 서로 등골을 빼먹는 기관입니다
2953,ㅋㅋ서로 냉장고 이야기를 너무 열심히 한 것 같아요 ㅋㅋ,ㅋㅋ서로 냉장고 이야기를 너무도 열심히 한 것 같아요 ㅋㅋ
2955,"국민들의 몰락, 두고만 보실겁니까.","국민들의 몰락, 두고만 두고 보실겁니까."
2957,수소차가 공기정화의 기능이 된다면 서울시 택시를 수소차로,"수소차가 공기정화의 기능이 된다면, 서울시 택시를 수소차로"
2966,"그 다음엔 와이프가 나가고, 결국 나 혼자울면서 봤다.","그리고 그 다음엔 와이프가 나가고, 결국 나 혼자울면서 봤다."
2975,안타깝게도 처음부터 끝까지 전혀 이해할 수 없는 내용의 연속...,안타깝게도 처음부터 끝까지 전혀 제대로 이해할 수 없는 내용의 연속...
2977,2배 레버리지 상품입니다. ㅋㅋ,2배 레버리지형 상품입니다. ㅋㅋ
2987,근데 수업을 들으면서 써야 제대로 쓸 수 있는 것 같아요!,근데 수업을 들으면서 신경 써야 제대로 신경 쓸 수 있는 것 같아요!
2997,굿바이 레닌' 으로 한국에서 사기치기..,굿바이 레닌'으로 한국에서'사기치기..
3003,등교 시간대(7시~8시 30분)의 공사를 제한해주세요,등교 시간대 ( 7시 ~ 8시 30분 ) 의 공사를 최대한 제한해주세요
3006,(현직 변호사) 사법 피해 호소문,"( 현직 변호사 ), 사법 피해 호소문"
3010,김기덕 조재현과 매니저 성폭범입니다.,김기덕 조재현과 매니저는 성폭범입니다.
3013,국토부와 환경부는 서로 커뮤니케이션이 되는지!,국토부와 환경부는 서로 어떻게 커뮤니케이션이 되는지!
3018,대박…5분대인데 24/46위라니 다들 얼마나 잘 뛰는거죠,대박 … 5분대인데 24 / 46위라니 다들 지금 얼마나 잘 뛰는거죠
3032,단언컨데 기황후와 신의 선물에 치여서 이번주부터 %대 시청률로 꾸준히 갈듯.,단언컨데 기황후와 신의 첫 선물에 치여서 이번주부터 % 대 대 시청률로 꾸준히 갈듯.
3036,방이 너무나 큰것 같습니다. ㅠㅠ,방이 너무나 큰것만 같습니다. ㅠㅠ
3060,이제까지 본 영화 중 이거만한게 없다ㅋㅋㅋ,이제까지 본 영화 중 이거만한게 별로 없다ㅋㅋㅋ
3062,한국 스웨덴전 심판좀 어떻게 해주세요 ㅠㅠ,한국전 스웨덴전 심판좀 어떻게 해주세요 ㅠㅠ
3063,딸들을 변호하며 달려왔던 대부분의 시간이 부끄러워질 정도로.,딸들을 변호하며 달려왔던 대부분의 시간이 너무 부끄러워질 정도로.
3071,확실히 오늘 날이 개니 더 환상!!,근데 확실히 오늘 날이 개니 더 환상!!
3073,오랜만에 다시 뵈어 좋았습니다!,오랜만에 다시 만나 뵈어 좋았습니다!
3075,아하 네 이것도 참고하세요.,아하 네. 이것도 참고하세요.
3094,"제품, 서비스 고도화에 대한 고민, 회사 문화/ 채용과 같은 회사 자체에 대한 Feedback 등 ‘추천’에 국한하지 않고 회사 전반에 대해서 이야기하였습니다.","제품, 서비스의 고도화에 대한 고민, 회사 문화, / 채용과 같은 회사 자체에 대한 Feedback 등 ‘ 추천 ’ 에 국한하지 않고 회사 전반에 대해서만 이야기하였습니다."
3101,왜 인터넷이 또 느린가 하면서 한참을 쳐다봤어요...,왜 인터넷이 또 느린가 하면서 계속 한참을 쳐다봤어요...
3102,ㅋㅋㅋ 내년을 다시 기대하심이....,ㅋㅋㅋ 내년을 또 다시 기대하심이....
3118,멋쟁이 뵌다고 나름 ootd 신경써봤지 말입니다!,멋쟁이로 뵌다고 나름 ootd 신경써봤지 말입니다!
3122,무술 꼭 배워보고 싶었는데 시간이 안맞아서 너무 아쉬웠습니다.,무술 꼭 배워보고는 싶었는데 시간이 안맞아서 너무 아쉬웠습니다.
3123,제프 딘이 최근에 TED에서 강연한 영상이 있어서 보게되었습니다.,제프 딘이 가장 최근에 TED에서 강연한 영상이 있어서 보게되었습니다.
3130,42.195는 못하겠지만 건강이라도 챙기자!,물론 42. 195는 못하겠지만 건강이라도 챙기자!
3133,잎들이 꾸겨져서 나는게 너무 신기한 것 같아요.,나무 잎들이 꾸겨져서 나는게 너무 신기한 것 같아요.
3134,그걸 알기 전에.. 알로카시아를 무지 큰 화분에 대차게 분갈이 해준적이 있어요.,그걸 알기 전에... 알로카시아를 무지 큰 화분에서 대차게 분갈이 해준적이 있어요.
3136,출산장려금 지역별 차이 없애주세요,저소득층 출산장려금 지역별 차이 없애주세요
3142,"공무원이 국가 세금 맘대로 사용하고 ,감옥 몇년 가면 없던일이 되는 현실을 공금을 다시 재산 몰수 하는데 서명 해주세요","공무원이 국가 세금 맘대로 사용하고, 감옥 몇년 가면 없던일이 되는 현실을 공금을 다시 국민 재산으로 몰수 하는데 서명을 해주세요"
3149,아 또 보고싶은 영화...,"아, 또 보고싶은 영화..."
3155,왜 이런 영화에 출연하셨을까..,왜 이런 영화에 많이 출연하셨을까..
3156,살인자도 나름대로 정당성을 항변할 수 있다.,살인자도 나름대로 정당성을 내세워 항변할 수 있다.
3161,식물 관련해서는 죽음의 손이지만.. 이번엔 꼭! 꽃이 피는걸 볼 수 있기를!!,식물 관련해서는 죽음의 두 손이지만.. 이번엔 꼭!! 꽃이 피는걸 볼 수 있기를!!
3168,"비오는 날 무거운 몸을 이끌고, 토요일 저녁 한시간 뛰기 하고 왔습니다.","비오는 날, 무거운 몸을 이끌고, 토요일 저녁 한시간 뛰기 하고 돌아 왔습니다."
3169,빨리 돈받아 오거나 벌어 오겠습니다!,어서 빨리 돈받아 오거나 벌어 오겠습니다!
3187,"적폐, 불법, 나태 공무원의 처벌은 정확하고 빠르게 해주세요","적폐, 불법 불법, 나태 공무원의 처벌은 정확하고 빠르게 해주세요"
3198,회식금지법 발의 좀 해주세요,회식금지법 발의 좀 꼭 해주세요
3210,전체적인 그림을 파악해야 해당 룰이 왜 생겨났는지 파악하고 관리할 수 있다.,전체적인 그림을 정확히 파악해야만 해당 룰이 왜 생겨났는지 파악하고 관리할 수 있다.
3220,참고로 저는 사업자 아님 ...,참고로 저는 사업자 아님....
3222,회사에서 반바지 입을수 있게 해주세요,회사에서 반바지 입을수가 있게 해주세요
3230,제가 말 안돌렸으면 계속 하셨을듯 합니다.,아마 제가 말 안돌렸으면 계속 하셨을듯 합니다.
3233,자전거 타고 꼭 방문해주세요,자전거를 타고 꼭 방문해주세요
3239,<PERSON> 이거 테스트죠 ? ㅋㅋ,이거 < PERSON > 이거 테스트죠? ㅋㅋ
3240,소음 때문에 잠조차 잘 수가 없었다. ㅤㅅㅞㅅ!!,소음 때문에 잠조차 제대로 잘 수가 없었다.!!
3252,모두 이해했다고 할 수있을까?,모두가 이해했다고 할 수있을까?
3255,골프장이 체육시설의 설치이용에 관한 법률 제21조를 준수하게 해주세요,골프장이 체육시설의 설치이용에 관한 법률 제21조를 준수하게끔 해주세요
3270,진부한 호주 관광안내 카탈로그,진부한 호주식 관광안내 카탈로그
3279,얼마전에 저희집 첫째 새끼 때랑 너무 닮은 피규어를 발견해서 모셔온거 자랑,얼마전에 저희집 첫째 새끼 때랑 너무 닮은데 피규어를 발견해서 직접 모셔온거 자랑
3285,"페드로 알모도바르, 또 다른 신세계.","페드로 알모도바르, 또 다른, 신세계."
3286,"CS는 그래서 약간 희귀하기도 하고, 알콜도수도 들쭉날쭉합니다.","CS는 그래서 약간 더 희귀하기도 하고, 알콜도수도 들쭉날쭉합니다."
3288,대학원 후배가 이걸 찾아서 저에게 보내왔어요 ㅋㅋ,대학원 후배가 이걸 찾아서 저에게 보내왔어요. ㅋㅋ
3312,지지층을 모두 적대세력으로 돌리시겠습니까?,지지층을 모두 적대세력으로만 돌리시겠습니까?
3328,패키징의 방식은 아니지만 방향성은 정말 비슷한거 같습니다.,패키징의 접근 방식은 아니지만 방향성은 정말 비슷한거 같습니다.
3337,저 주말에 올리브 집사와 냥집사 타이틀을 동시에 얻었습니다 ㅎㅎㅎ,저 주말에 올리브 집사와 냥집사 타이틀을 동시에 하나 얻었습니다 ㅎㅎㅎ
3354,부동산에 투자 하자는 생각은 이제 그만.,부동산에 투자 하자는 식의 생각은 이제 그만.
3359,아 뭔가 이렇게 꾸준히 한다는게 정말… 존경스럽습니다.,아 뭔가를 이렇게 꾸준히 한다는게 정말 … 존경스럽습니다.
3365,일본계 판타지들은 신비하다기 보단 괴상한 느낌이...,일본계의 판타지들은 신비하다기 보단 괴상한 느낌이...
3378,한국 표준시 뒤집지 마세요.,한국 표준시를 뒤집지 마세요.
3381,(주)아주의대벤처메딕스 ASF닥터에스리 화장품 업체 갑질 고발합니다,( 주 ) 아주의대벤처메딕스 ASF닥터에스리 화장품 업체에 갑질 고발합니다
3383,돌아서면 자라있는 신기한 머리…..ㅎㅎ,돌아서면 자라있는 신기한 내 머리 ….. ㅎㅎ
3386,파도에 또 뭐가 실려올지 모르잖아..,파도에는 또 뭐가 실려올지 모르잖아..
3389,리모션 셀피가 live photo 기능도 제공하네요.,리모션 셀피가 아닌 live photo 기능도 제공하네요.
3394,장애인 적폐를 바로잡아 주세요,장애인 적폐를 바로잡아 없애 주세요
3412,다띄워놓고 돌려도 아직도 램이 남아요.,그냥 다띄워놓고 돌려도 아직도 램이 남아요.
3414,장애인 활동보조인 부모가할수있게 해주세요,장애인 활동보조인을 부모가할수있게 해주세요
3420,와 다들 나랑 똑같네 ㅋㅋ,와 ~ 다들 나랑 똑같네 ㅋㅋ
3428,개인 파생상품 양도세부과의 합리적인 방안마련을 청원합니다.,개인 파생상품의 양도세부과의 합리적인 방안마련을 청원합니다.
3436,저도 보는 순간 발견했습니다. ㅋㅋ,저도 보는 그 순간 발견했습니다. ㅋㅋ
3445,아이스 코나 라떼 맛집요.,아이스 코나멜 라떼 맛집요.
3446,결국 주인공은 첫사랑을 포기해야만했다,그러나 결국 주인공은 첫사랑을 포기해야만했다
3451,국민연금 폐지 또는 개편요구(청원 한곳으로 모읍시다),국민연금의 폐지 또는 개편요구 ( 청원 한곳으로 모읍시다 )
3480,요약하신 내용도 잘 볼게요 ㅎㅎ,요약하신 대로 내용도 잘 볼게요 ㅎㅎ
3507,. 분량 시간분.난뭘본걸까? 레이 개실망...,.. 분량 시간분. 난뭘본걸까? 레이 개실망...
3517,이 점을 기억하면서 이번 주말에 나머지 편들을 봐야겠습니다.,이 점을 기억하면서 이번 주말에 나머지 세 편들을 봐야겠습니다.
3518,이선균연기/목소리톤은 맨날 발전이 없다!,이선균연기 / 목소리톤은. 맨날 발전이 없다!
3533,아이폰 기본카메라로 꾸역꾸역 담아봤어요 ㅋㅋㅋ,아이폰은 기본카메라로 꾸역꾸역 담아봤어요 ㅋㅋㅋ
3556,이번 주 중으로 안내드릴 예정입니다,그리고 이번 주 중으로 안내드릴 예정입니다
3570,70대 돌아가시는 대부분 원인은 40대 생긴것이라고 하네요.,70대 돌아가시는 대부분의 원인은 40대 생긴것이라고 하네요.
3576,"미투운동을 경,검찰에게 맏기도록 했으면 합니다.","미투운동을 경, 검찰에게 맏기도록 했으면 했으면 합니다."
3586,이나영팬이어서 봤었는데 보고나서 이나영한테 급실망했었다.,"이나영팬이어서 봤었는데, 보고나서 이나영한테 급실망했었다."
3590,더 이상 어떤 당 얘기를 들어주는 것을 못 참겠습니다.,더 이상 어떤 당 얘기를 들어주는 것을 못 참고 참겠습니다.
3601,이번에도 콜라보레이터로 초대드릴 분들 깃허브 아이디 확인 부탁드리겠습니다.,이번에도 콜라보레이터로 초대드릴 분들 깃허브 아이디 확인을 부탁드리겠습니다.
3605,청갤 실명제로 어그로끄는 종자들을 적폐로 규정해주시고 무분별한 비판을 허용해주세요,"청갤 실명제로 어그로끄는 종자들을 적폐로 규정해주시고, 무분별한 비판을 허용해주세요"
3612,우리 회사를 선택한 이유로 캐글할 수 있는 회사! 그리고 우리 회사에서 다양한 데이터를 만져볼 수 있을 것 같다는 것이었다고 합니다.,우리가 회사를 선택한 이유로 캐글할 수 도 있는 회사! 그리고 우리 회사에서 다양한 양의 데이터를 만져볼 수 있을 것 같다는 것이었다고 합니다.
3617,마트 치킨 재 발매 해주세요.,마트 치킨 재방송 발매 해주세요.
3622,성룡도 별로 나오지도 않고,게다가 성룡도 별로 나오지도 않고
3630,경찰은 수배자 건설노조 장옥기를 당장 체포 하십시오!!,경찰은 수배자 건설노조 장옥기를 당장 체포를 하십시오!!
3655,청와대..마지막으로 일 좀 하세요,청와대.. 마지막으로 일 좀 좀 하세요
3661,하지만 나치를 언급할만큼 거대한 디 비전은보이지않고 사람 여러명이서 소꿉놀이하는 것같았습니다.,. 하지만 나치를 언급할만큼 거대한 디 비전은보이지않고 사람들이 여러명이서 소꿉놀이하는 것같았습니다.
3665,시대적 상황에 맞지 않은 분위기.. 퓨전인가???,시대적 상황에는 맞지 않은 분위기.. 퓨전인가???
3668,정말재밌더라 시온주의의유태인들이 겨우나라얻었는데 상식적으로생각해보면 팔레스타인인들강납정책하는건 어쩔수없다,정말재밌더라 시온주의의유태인들이야 겨우나라얻었는데 상식적으로생각해보면 팔레스타인인들강납정책하는건 어쩔수없다
3671,남성인권 보호를 위해 '꽃뱀 알림 E' 서비스가 필요합니다,남성인권 보호를 위해'꽃뱀 알림 E'라는 서비스가 필요합니다
3678,제발 재난재해 장소에 정치인들 얼굴 내밀지 말았으면 합니다.,제발 재난재해 장소에 정치인들 얼굴 내밀지는 말았으면 합니다.
3682,전 Intro보고 비즈 관련 세션들어가는데 저희가 가려는 방향하고 매우 유사하네요.,전 Intro보고 비즈 관련 세션들어가는데 저희가 가려는 방향하고는 좀 매우 유사하네요.
3684,공공기관 기관장 및 사외이사 낙하산 인사를 금지해주세요.,공공기관 기관장 및 사외이사 낙하산 인사를 전면 금지해주세요.
3686,소재가 그래도 갠찮다고 생각 ㅋ 호불호가 좀 가려지는듯..,소재가 그래도 갠찮다고는 생각 ㅋ 호불호가 좀 가려지는듯..
3695,업타운펑크가 엄청 그루비하게 나와서 놀랐어요ㅋㅋ,업타운펑크가 엄청 그루비하게 잘 나와서 놀랐어요ㅋㅋ
3696,"기존 회사에서 2번과 같이 써왔어서 익숙해서 그냥 그렇게 쓰고는 있는데, 이렇게 쓸때마다 혹시나 불편하게 생각하시는 분이 계실까 싶어서 한 번 더 생각하게 되네요.","기존 회사에서 2번과 같이 써왔어서 익숙해서 그냥 계속해서 그렇게 쓰고는 있는데, 이렇게 쓸때마다, 혹시나 불편하게 생각하시는 분이 계실까 싶어서 한 번 더 생각하게 되네요."
3713,퇴근하고 자기전에보기 무겁지도않고 좋은프로~,퇴근하고 자기전에보기 무겁지도않고 ~ 좋은프로 ~
3724,UI 메뉴에 뭔가 페이지 생성 메뉴가 있을줄 알았는데 안보여서 말씀 드렸어요.,그래서 UI 메뉴에 뭔가 페이지 생성된 메뉴가 있을줄 알았는데 안보여서 말씀 드렸어요.
3725,곧 다가올 여름에는 종종 으로 냉각도 시킵시다,곧 다가올 올 여름에는 종종 으로 냉각도 시킵시다
3745,이재용 검사 상고시 국민재판 청원합니다.,이재용 검사 상고시켜 국민재판 청원합니다.
3748,"북한인민은 잘 살수있다는 희망이라도 있지만, 우리는 노력해도 집한채도 마련못하니 그저 포기하는게 빠를거같습니다.","북한인민은 잘만 살수있다는 희망이라도 있지만, 우리는 노력해도 집한채도 마련못하니 그저 포기하는게 더 빠를거같습니다."
3753,일회용 플라스틱이 진정 문제인가요?,일회용 플라스틱이 진정한 문제인가요?
3761,명분 없는 KBS시청료 왜 ? 강제로 걷나요~~,명분도 없는 KBS시청료 왜? 강제로 걷나요 ~ ~
3763,제가 내준 최고난이도 수학문제 붙잡고 씨름하는 딸의 모습 ㅋ,제가 내준 최고난이도 수학문제 붙잡고 씨름하는 딸의 모습. ㅋ
3777,여기가 TDN성님이 나온다던 그 영화인가요?,그런데 여기가 TDN성님이 나온다던 그 영화인가요?
3781,오늘 금메달 싹쓸이 해봅시다!,오늘 금메달 싹쓸이 꼭 해봅시다!
3785,견자단 형님.... 왜 이렇게 실력이 녹슬었어요?? ㅠ,견자단 형님.... 왜 이렇게 제 실력이 녹슬었어요?? ㅠ
3786,준비해주신 분들 다들 감사드려요!!,잘 준비해주신 분들 다들 감사드려요!!
3794,요청 받으시면 내용 공유 부탁드립니다!,확인 요청 받으시면 내용 공유 부탁드립니다!
3795,국회의원(선출직) 사퇴시 선거비용 배상하라.,국회의원 ( 선출직 ) 사퇴시 선거비용을 배상하라.
3799,정신적 심신 미약이다' 라는 말로 처벌이 줄어들면 안됩니다.,정신적 심신의 미약이다'라는 말로 처벌이 줄어들면 안됩니다.
