,sentence_2,sentence_2_bert
2368,경제민주주의 왜곡에 대한 해명,경제민주주의 왜곡에 대한 정부 해명
2373,은행업무를 토요일에도 영업을 할수 있게 해주세요,은행업무를 통해 토요일에도 영업을 할수 있게 해주세요
2384,요즘 제가 고민하는 부분에 있어서도 배울 점이 많아서 귀에 쏙쏙 들어오네요.,요즘은 제가 고민하는 부분에 있어서도 배울 점이 너무 많아서 귀에 쏙쏙 들어오네요.
2389,작업 가능하신 분한테 부탁을 드려야 할 것 같습니다.,작업 가능하신 분한테 부탁을 드려야만 할 것 같습니다.
2394,전복돌솥밥도 되게 괜찮아요 :),전복돌솥밥도 되게나 괜찮아요 : )
2397,제꺼 헤드셋 정보 입니다. ㅋㅋㅋ,ㅋㅋㅋ 제꺼 헤드셋 정보 입니다. ㅋㅋㅋ
2399,화려한 액션과 아버지와 아들의 감동적인 스토리...,화려한 액션과 아버지와 아들의 가장 감동적인 스토리...
2406,공공기관 지방이전으로 국토의 균형발전을이루워주세요,공공기관 지방이전으로부터 국토의 균형발전을이루워주세요
2417,내일 관리사무소에 연락해서 상황 전달하라고 하네요,내일 관리사무소에서 연락해서 상황 전달하라고 하네요
2419,마지막 사진은 체력을 만땅으로 채워보자는 염원을 담은 달리는 말 배경..!!,마지막 사진은 제 체력을 만땅으로 채워보자는 염원을 담은 달리는 말의 배경..!!
2435,이거 언젠가 아이디어 들었던 것 같은 느낌이..?,이거. 언젠가 아이디어 들었던 것 같은 느낌이..?
2443,김성태의원 폭행한 사람 구속은 면하게 해주세요,김성태의원 폭행한 두 사람 구속은 면하게 해주세요
2444,충분히 재미있었음에도 평점이 낮은 이유는 글래디에이터가 넘사벽으로 명작이어서 그런 듯 하네요,충분히 재미있었음에도 평점이 너무 낮은 이유는 글래디에이터가 넘사벽으로 명작이어서 좀 그런 듯 하네요
2448,제발 좀 공교육의 질과 위상을 향상 시켜 주세요!!!!!!!!!!!!!!!!!!,제발 제발 좀 공교육의 질과 위상을 향상 시켜 주세요!!!!!!!!!!!!!!!!!!
2459,저도 언제 한 번 같이 출근해서 업무를 하기로 약속도 했네요!,저도 언제든지 한 두 번 같이 출근해서 업무를 하기로 약속도 했네요!
2465,그리고 사기꾼 집단의 거래소를 폐쇄하여 주시기를 바랍니다.,그리고는 사기꾼 집단의 거래소를 폐쇄하여 주시기를 바랍니다.
2466,공무원 실기시험 평등하게 해주시길 바랍니다.,공무원 실기시험 평등하게 평가 해주시길 바랍니다.
2468,"이효리가 출산율 저하에 미친 영향을 고려하여, 영향력있는 인사의 방송 출연 적극 제한 청원합니다.","가수 이효리가 출산율 저하에 미친 큰 영향을 고려하여, 영향력있는 인사의 방송 출연 적극 제한 청원합니다."
2474,익숙한 공식들로 너무 별볼일 없게 만들었다.,익숙한 공식들로 너무 별볼일이 없게 만들었다.
2479,앗 제가 메일 놓쳤었나봐요~!,앗 제가 이 메일 놓쳤었나봐요 ~!
2485,"오, 충격적이다. 대단한 작품!","오, 충격적이다. 대단한 예술 작품!"
2487,시걸아 치고 빠지는것도 좀 배워라..,시걸아 치고 빠지는것도 좀더 배워라..
2489,불가능을 가능케 만든 무한한 감동무비 !,불가능을 실현 가능케 만든 무한한 감동무비!
2491,여가부에서 정책한 2019년 아이돌봄 서비스의 잘못된 정책을 개선해 주십시오,여가부에서 잘못 정책한 2019년 아이돌봄 서비스의 잘못된 정책을 개선해 주십시오
2492,책보면서 그렇게 운적 처음 ㅡ ㅡ;,이 책보면서 그렇게 운적 처음 ㅡ ㅡ ;
2494,데려다 주셔서 편하게 왔어요,데려다 주셔서 정말 편하게 왔어요
2499,역시 이런 장르는 아무리 잘 만들어도 평이 낮군...,역시 이런 장르는 아무리 잘 만들어도 오히려 평이 낮군...
2505,매니징과 개발 / 리서치와 개발 / 개발 속도와 코드 퀄리티 균형 이야기가 나왔습니다.,매니징과 개발 / 리서치와 개발 / 개발 속도와 코드 퀄리티 균형의 두 이야기가 나왔습니다.
2510,조경태..김진태..이언주..의원님 난민 반대 감사요,조경태.. 김진태.. 이언주.. 의원님 난민 반대합니다 감사요
2515,읽을 줄도 모르는 불어책 읽는 느낌..,읽을 줄도 모르는 불어책을 읽는 느낌..
2516,울프강은 가신다고 하셨으니 패스 합니다…ㅎㅎ,울프강은 가신다고 하셨으니까 패스 합니다 … ㅎㅎ
2520,봅슬레이 슬라이딩센터 및 상비군을 지켜주세요...,봅슬레이 슬라이딩센터 및 경기장 상비군을 지켜주세요...
2521,치과 진료 쪽 보험을 좀더 확대 해주셨으면 좋겠습니다.,치과 치과 진료 쪽 보험을 좀더 확대 해주셨으면 좋겠습니다.
2523,로스쿨 입학정원 연 1만명으로 늘려야 합니다.,로스쿨은 입학정원 연 1만명으로 늘려야 합니다.
2529,무능한 문재인 정부를 심판해 주십시오.,무능한 문재인의 정부를 심판해 주십시오.
2536,"왜 안올리시지, 기다리고 있었어여","근데 왜 안올리시지, 기다리고 있었어여"
2553,애들 싸움이 어른싸움 된건데 참 보면 인의 동맹관계가 계속 바뀌는 것도 재밌고 히스테릭한 행동들도 재밌다.,애들 싸움이 어른싸움 된건데 참 보면 인의와의 동맹관계가 계속 바뀌는 것도 재밌고 히스테릭한 행동들도 재밌다.
2562,저 진짜 너무 먹고 싶어요,저 진짜 너무 먹고 보고 싶어요
2568,와아… 근데 넘 나 귀엽네요!!!!!!! ㅇ,와아 … 근데 … 넘 나 귀엽네요!!!!!!! ㅇ
2578,"이렇게 원하는신 분들이 많을거라고 생각도 못했,,,","이렇게 많이 원하는신 분들이 많을거라고 생각도 못했,,,"
2579,여름철 적정 실내온도를 24~25도로 낮춰주세요.,여름철 적정 실내온도를 24 ~ 25도로 대폭 낮춰주세요.
2621,최종 확인 요청드립니다 :),최종 신원 확인 요청드립니다 : )
2636,개헌으로 국회의원 수를 줄입시다,개헌으로 모든 국회의원 수를 줄입시다
2643,마지막에 미란이가 코난 손 잡을 때 눈물나 ㅠㅠ,마지막에 미란이가 코난 손 잡을 때 너무 눈물나 ㅠㅠ
2648,고품질 소리를 위해 저희 둘 다 마이크를 구매해서 사용하고 있었습니다.,또한 고품질 소리를 위해 저희 둘 다 마이크를 구매해서 함께 사용하고 있었습니다.
2653,어머니성을 따르고자 하는 경우에도 개명신청을 할 수 있게 해주십시오.,어머니성을 그대로 따르고자 하는 경우에도 개명신청을 할 수 있게 해주십시오.
2656,진지하게 보면 두사람의 심리가 보이고 애절하기까지 한데 다들 왜케 욕할까요?,진지하게 보면 이 두사람의 심리가 보이고 애절하기까지 한데 다들 그걸 왜케 욕할까요?
2664,이영화가 재밌다는 사람들 도저히 이해가 안된다. 하아~,이영화가 재밌다는데 사람들 도저히 이해가 안된다. 하아 ~
2665,교육학 중등 임 용고사 객관식으로 바꿔주세요,교육학과 중등 임 용고사 객관식으로 바꿔주세요
2666,"증권거래소 기업심사위원회 등 수많은 각종 ""위원회 명단"" 공개를 원칙으로 하라.","증권거래소 기업심사위원회 위원 등 수많은 "" 각종 "" 위원회 명단 "" 공개를 원칙으로 하라."
2668,학교에서 급식을 제대로 먹지 못하였습니다,학교에서의 급식을 제대로 먹지 못하였습니다
2689,뭐 좀 어지럽긴 했짐나 그것만 빼면 괜찮은듯....,뭐 좀 뭐 어지럽긴 했짐나 그것만 빼면 괜찮은듯....
2701,집앞이긴 한데 개인적으로 아래 카페 가보고 싶었습니다…!,집앞이긴 한데 개인적으로 아래의 카페 가보고 싶었습니다 …!
2719,뉴스같은 정형화 된 발화는 쉬우나 아마 감정을 담거나 하면 어려워지겠죠?,뉴스같은 경우 정형화 된 발화는 찾기 쉬우나 아마 감정을 담거나 하면 어려워지겠죠?
2721,담엔 사진 꼭 찍는 것으로!!,담엔 사진은 꼭 찍는 것으로!!
2734,오오. 여기서는 자주 보이는 음료인데 저도 오늘 마셔볼께요.,오오. 여기서는 자주 마셔 보이는 음료인데 저도 오늘 마셔볼께요.
2744,"할 일이 많아서 바쁘지만, 계속 할 일이 많은, 성장하는 회사가 되자는 이야기를 마지막으로 대화를 마쳤습니다.","할 일이 많아서 바쁘지만, 계속 할 일이 많은, 더 성장하는 회사가 잘 되자는 이야기를 마지막으로 대화를 마쳤습니다."
2748,헉 ㅋㅋㅋ 내년에 모두 대박나서 행복하기를!,헉! ㅋㅋㅋ 내년에 모두 대박나서 행복하기를!
2773,국회 의원 전주 조사 합시다,국회 의원들 전주 조사 합시다
2775,우리는 당신에게 최선을 다하기를 바랍니다!,우리는 당신에게 최선을 다하기를 간절히 바랍니다!
2782,지방직 공무원도 육아기단축근무 허용해주세요~!!!!!!!!,모든 지방직 공무원도 육아기단축근무 허용해주세요 ~!!!!!!!!
2783,저출산문제를 예산으로 해결하려는 정책에 대해서...,저출산문제를 예산으로 해결하려는 정책에 대해서 대해서...
2806,저도 친구한테 링크 받았어요,저도 그 친구한테 링크 받았어요
2809,나는 당신에게 최선을 다하기를 바랍니다!!,나는 당신에게 최선을 다하기를 간절히 바랍니다!!
2825,오늘날 사회를 잘 비춰준다.,오늘날 우리 사회를 잘 비춰준다.
2837,박근혜 정부 시즌2가 될 것인가?,박근혜 새 정부 시즌2가 될 것인가?
2839,종이통장 계속 사용 할 수 있게 해주세요.,종이통장 계속 사용 할 수 있 있게 해주세요.
2840,"ㅡ,.ㅡ"" 보다가 확 닫은영화.","ㅡ,. ㅡ "" 보다가 "" 확 닫은영화."
2844,음.. 아마도 제 것일것 같습니다.,음.. 아마도 제 것일것도 같습니다.
2845,소요가 자켓을 얻기위해 뽀뽀를 하는 장면은 충격적이였다,그리고 소요가 자켓을 얻기위해 뽀뽀를 하는 장면은 충격적이였다
2846,서울 집값 어떻게 생각하시는지??,그럼 서울 집값 어떻게 생각하시는지??
2849,저희는 고등어정식구이 먹고 있습니다 ㅎㅎ,지금 저희는 고등어정식구이 먹고 있습니다 ㅎㅎ
2855,보는 내내 욕만 나옴.,그런데 보는 내내 욕만 나옴.
2867,저도 너무 좋게 들었네요.,저도 너무 기분 좋게 들었네요.
2881,어휴 ㅠㅠ 많이 놀라셨겠어요 ㅠㅠ,어휴 ~ ㅠㅠ 많이 놀라셨겠어요 ㅠㅠ
2882,공매도 폐지 요청 간절히 드립니다,공매도 폐지 요청 간절히 부탁 드립니다
2883,손들었는데 스케줄 보니 그 시간 면접이 있네요 ;ㅁ; 흑,손들었는데 스케줄 보니 그 시간 면접이 잡혀 있네요 ; ㅁ ; 흑
2891,어릴적에 누나가 dvd로 빌려왔는데.. 이제는 구하기 어렵네ㅠㅠ,어릴적에 누나가 dvd로 빌려왔는데... 이제는 구하기 어렵네ㅠㅠ
2897,군산 동백대교 건설로 인해 주변 시민들은 하루하루 고통속에 살아가고 있습니다.,최근 군산 동백대교 건설로 인해 주변 시민들은 지금 하루하루 고통속에 살아가고 있습니다.
2898,태형도입 청원합니다. 피해자인권보호 범죄자인권x,태형도입 청원합니다. 성폭력 피해자인권보호 범죄자인권x
2908,오 약속 표현을 구체적으로 생각해보니 상상보다 더 재미있을 것 같아요 ㅎㅎ,오 약속 표현을 구체적으로 하나하나 생각해보니 상상보다 더 재미있을 것 같아요. ㅎㅎ
2912,강릉 1박 2일이면 시간이 많은 것도 아닌 것 같아서요~,강릉 1박 2일이면 시간이 많은 것도 아닌 걸 것 같아서요 ~
2915,Quest 2가 없어도 데스크톱에서 영상 통화를 통해 회의에 참여하는 것이 가능합니다.,"Quest 2가 없어도, 데스크톱에서 영상 통화를 통해 회의에 참여하는 것이 충분히 가능합니다."
2920,출연배우들의 발연기를 실컷 볼 수 있음,출연배우들의 발연기를 실컷 펼쳐 볼 수 있음
2931,어제부터 저도 (가상의) 집사가 되기로 했습니다..,어제부터 저도 새로운 ( 가상의 ) 집사가 되기로 했습니다..
2933,정시를 늘리고 수능 절대평가로 바꾸는 것을 물러주세요.,정시를 늘리고 수능을 절대평가로 바꾸는 것을 물러주세요.
2934,"제발 어음제도없세고 물품대 바로 카드결제로 법제화 되어야합니다,","제발 제발 어음제도없세고 물품대 바로 카드결제로 법제화 되어야합니다,"
2937,아쉽지만 푹 쉬고 몸이 다 나아서 다음주에 맛있는것 먹기로하며 마무리했습니다.,"조금 아쉽지만, 푹 쉬고 몸이 다 나아서 다음주에 맛있는것 먹기로하며 마무리했습니다."
2945,150만원 이하 통장압류 금지법 ... 빨리 만들어주세요 ...,150만원 이하 통장압류 금지법... 빨리 만들어주세요....
2947,한국자산관리공사에 근무하는 사람들의 특권의식을 없애는 제도적 장치를 마련해주시기 바랍니다,한국자산관리공사에 근무하는 사람들의 특권의식을 없애는 제도적인 장치를 마련해주시기 바랍니다
2953,이름이 너무너무 아파를 귀엽게 말하는것 같네요 ㅋㅋㅋ,이름이 너무너무 아파를때 귀엽게 말하는것 같네요 ㅋㅋㅋ
2955,"제주도 난민, 어쩌실 계획인겁니까.","제주도 난민, 어쩌실 겁니까 계획인겁니까."
2957,"혐오의 공간이 아닌, 안식의 공간을 위한 요양원 체제개선","혐오의 공간이 아닌, 사랑과 안식의 공간을 위한 요양원 체제개선"
2966,"괴짜 영화 같지만, 갈수록 빠져드는 내 자신을 발견했다...^","괴짜 영화 같지만, 갈수록 빠져드는 듯한 내 자신을 발견했다... ^"
2975,아 끝까지 보지 못한게...,"아, 끝까지 보지 못한게..."
2981,최종 각각 몇개 했을까요?,최종 각각은 몇개 했을까요?
2987,그리고 부족한 부분이 있다면 보완할 수 있는 방법을 고민해보면 좋을 것 같아요.,그리고 부족한 부분이 있다면 보완할 할 수 있는 방법을 고민해보면 좋을 것도 같아요.
2997,그놈의 굿 페이스가 뭔지...,그놈의 굿바이 페이스가 뭔지...
3003,출퇴근 시간(08시출근-17시퇴근) 변경하여 저녁있는 삶을 살자,출퇴근 시간 ( 08시출근 - 17시퇴근 ) 변경하여 즐거운 저녁있는 삶을 살자
3006,(서울신문 기고문) 지방법원의 개인회생법 적용실태,( 서울신문에 기고문 ) 지방법원의 개인회생법 적용실태
3013,최저임금에따른 최고임금 연동제와 스톡옵션제도 도입,최저임금에따른 최고임금과 연동제와 스톡옵션제도 도입
3018,좋아요... 5분대에 속하지만 24시간 46시간 근무합니다. 그들은 모두 얼마나 잘 연주합니까?,좋아요... 5분대에 속하지만 24시간 46시간 근무합니다. 그들은 모두들을 얼마나 잘 연주합니까?
3031,매우 시급합니다 ~ !,! 매우 시급합니다 ~!
3032,"사랑과 욕망이 파멸로 치닫는.. 정말 연민이 많이 가는 캐릭터, 강영걸.","사랑과 욕망이 파멸로. 치닫는.. 정말. 연민이 많이 가는 캐릭터, 강영걸."
3036,출혈이 너무 심해요. ㅠㅠ.,출혈이 너무 심해요.. ㅠㅠ.
3062,한국 근대사 이제 좀 자세히 배울수있게 해주세요,제발 한국 근대사 이제 좀 자세히 배울수있게 해주세요
3063,일제의 만행을 잘보여주는 역사의 증거물..,일제의 만행을 가장 잘보여주는 역사의 증거물..
3072,총 여섯명이 만나게 되었습니다 ㅎㅎㅎ,총 여섯명이 만나게 되 되었습니다 ㅎㅎㅎ
3088,와 완전 깨끗하게 보셨네요!!!,와 ~ 완전 깨끗하게 보셨네요!!!
3094,"평소에 전혀 생각해보지 못했던 Biz팀이 가지고 있는 숙제들과, AI 기업들의 생태에 관한 내용을 들려주셨습니다!","평소에는 전혀 전혀 생각해보지 못했던 Biz팀이 가지고 있는 숙제들과, AI 기업들의 생태에 관한 내용을 들려주셨습니다!"
3097,불편이 이만 저만이 아닙니다.,그 불편이 이만 저만이 아닙니다.
3101,서명을 보니 또 1번이 좋아보여요...!!,"서명을 보니, 또 1번이 좋아보여요...!!"
3102,두분다 발표신이신데... 고민이셨을 줄이야!!!,두분다 발표신이신데... 고민이셨을때 줄이야!!!
3122,"헉, 전 못 받았었는데 저거 너무 부러웠어요...","헉, 전 못 받았었는데 저거 너무 너무 부러웠어요..."
3123,페북보다보니 인공지능 관련 특허관련 자료가 있어서 가져왔습니다.,페북보다보니 인공지능 관련 특허관련한 자료가 있어서 가져왔습니다.
3125,여러분들도 꼭 사세요 이책...,여러분들도 꼭 사세요. 이책...
3130,시간상 많이 먹지는 못하겠지만.. 강릉 맛집 최대한 추천 받아서 가시죠!! FYI,시간상 많이 많이 먹지는는 못하겠지만.. 강릉 맛집 최대한 추천 받아서 가시죠!! FYI
3133,CV 쪽 너무 재밌는 주제가 많은 것 같아요. !,CV 쪽 너무 재밌는 주제가 너무 많은 것 같아요.!
3134,예전 Ullman의 특강을 들은 적이 있습니다.,예전 Ullman의 특강을 들은 본 적이 있습니다.
3136,국가장학금의 소득분위별 지급 금액 차이를 줄여주세요,국가장학금의 소득분위별 지급 금액 차이를 최대한 줄여주세요
3142,건물주 맘대로 1년마다 세 올릴수 있는 임대차 보호법 없애주세요 ㅠㅠ,건물주 맘대로 1년마다 다시 세 올릴수가 있는 임대차 보호법 없애주세요 ㅠㅠ
3143,그래서 이렇게 알바들이 난리를 치는구나..,그래서 또 이렇게 알바들이 난리를 치는구나..
3149,아 뻔한 스토리 ......ㅡ..ㅡ,아 뻔한 스토리....... ㅡ.. ㅡ
3156,용기를 가져야만 자신 스스로 존재할 수 있다.,용기를 가져야만 자신 스스로가 존재할 수 있다.
3161,다음에는 꼭 같이 갈 수 있기를…!!!,다음에는 꼭 같이 놀러 갈 수 있기를 …!!!
3168,주말동안 빅스웰이 찾아온 중문에서 서핑하고 왔습니다.,주말동안 빅스웰이 찾아온 후 중문에서 서핑하고 왔습니다.
3187,"정부는 경제, 안보,외교,교육에 대한 정확하고도 세밀한 분석이 필요합니다.","정부는 경제, 안보, 외교, 교육에 대한 보다 정확하고도 세밀한 분석이 필요합니다."
3198,근로기준법 수정 좀 해주세요.,근로기준법 수정 좀 더 해주세요.
3210,이러한 차이를 두지 않는다면 검토 세션 중에 갈등이 초래될 수 있다.,만약에 이러한 차이를 두지 않는다면 검토 세션 중에 갈등이 초래될 수 있다.
3220,어쨌든 우린 한민족 아닌가...,어쨌든 우린 한민족이 아닌가...
3222,남자들이 맘편하게 돌아다닐수 있게 해주세요,남자들이 맘편하게 돌아다닐수 있게 잘 해주세요
3230,떡 돌린일은 정말 잘한 일인듯 합니다.,떡 돌린일은 정말 정말 잘한 일인듯 합니다.
3239,이거 심하게 humor에 있어야 할 내용인데요?ㅋ,이거는 심하게 humor에 있어야 할 내용인데요? ㅋ
3240,어디서도 볼 수가 없어요! ! !,어디서도 찾아 볼 수가 없어요!!!
3252,내미래에 남편이나 아내가 저렇게 해줄수 있을까??,내미래에 남편이나 아내가 저렇게 잘 해줄수 있을까??
3255,검사장 출신 변호사 홍만표의 몰래변론 62건을 검찰에서 공개하게 해주세요.,검사장 출신 변호사 홍만표의 몰래변론사건 62건을 검찰에서 공개하게 해주세요.
3270,존 카펜터식 B급 소동극.,- 존 카펜터식 B급 소동극.
3279,저는 1차 때랑 거의 비슷한것 같아요!,근데 저는 1차 때랑 거의 비슷한것 같아요!
3282,청원 시스템을 개선해야 합니다.,청원 시스템을 시급히 개선해야 합니다.
3285,캐러비안에 나왔던 유머감각도 살아있고.,캐러비안에 나왔던 유머감각도 여전히 살아있고.
3286,"영화도 재밌게 봐서 강추하고, OST도 추천합니다.","영화도 재밌게 봐서 강추하고, 영화 OST도 추천합니다."
3288,친구가 조지아 지인한테 선물 받은걸 저에게 선물했어요 ㅋㅋ,친구가 조지아 지인한테 선물 받은걸 저에게 선물했어요. ㅋㅋ
3312,화장실 벽을 모두 대리석으로 교체해 주십시오.,화장실 벽을 모두 모두 대리석으로 교체해 주십시오.
3328,재충전의 타이밍이 정말 중요한 것 같아요! ㅎㅎ,재충전의 타이밍이 정말 중요한 일인 것 같아요! ㅎㅎ
3337,"저희는 또, ‘은평구, 진관사’에서의 추억을 함께 공유하고 있었는데요!","그래서 저희는 또, ‘ 은평구, 진관사 ’ 에서의 추억을 함께 공유하고 있었는데요!"
3354,대학교 졸업을 위한 강제봉사 이제 그만!!,우리 대학교 졸업을 위한 강제봉사 이제 그만!!
3359,정말 발표 자료 퀄리티 너무 멋집니다ㅠㅠㅠ,정말 발표 자료의 퀄리티 너무 멋집니다ㅠㅠㅠ
3365,개인적으로 무섭다기보다는 좀 슬펐다...,개인적으로는 무섭다기보다는 좀 슬펐다...
3378,지자체 시의원 수 늘리지 마세요,지자체 시의원의 수 늘리지 마세요
3380,일단 누수 문제 빨리 해결되시길..),일단 누수의 문제 빨리 해결되시길.. )
3381,세림아이텍 옵셔널벤쳐스와 효성을 재조사해 줄것을 청원합니다,세림아이텍 옵셔널벤쳐스와 효성을 조속히 재조사해 줄것을 청원합니다
3383,마시면 귀를 자를 수 있어지는..,마시면 귀를 잘 자를 수 있어지는..
3386,고질라 이후로.. 또 졸아보네.. ㅎㅎ,. 고질라 이후로.. 또 졸아보네.. ㅎㅎ
3389,위 프로모션으로 투숙하니 아래와 같은 gift를 주더군요~,위 프로모션으로 투숙하니까 아래와 같은 gift를 주더군요 ~
3412,단행본이 아직 완결이 안 되었네요.. 그래도 사놓을게요 ㅋ,. 단행본이 아직 완결이 안 되었네요.. 그래도 사놓을게요 ㅋ
3414,능력없는 국회의원은 해임할수있게 해주세요,능력없는 현역 국회의원은 해임할수있게 해주세요
3420,와 진짜 알바 제대로 쓰네,와 진짜 진짜 알바 제대로 쓰네
3428,소상공인 자영업자를 위해 임대료 및 관리비의 합리적인 일할 계산을 청원합니다.,소상공인 자영업자를 위해 임대료 인상 및 관리비의 합리적인 일할 비용 계산을 청원합니다.
3436,보는 제가 후웁하게 됩니다.,그걸 보는 제가 후웁하게 됩니다.
3445,보는데 피나콜라다 맛이 떠오릅니다!,보는데 피나콜라다 맛이 절로 떠오릅니다!
3451,4월29일 에 청원한 ((( 국회의원면책특권폐지 찬반을 국민투표로 물어주세요))) 찾아서 동의해주세요,4월29일 에 청원한 ( ( ( 국회의원면책특권폐지 찬반을 국민투표로 물어주세요 ) ) ) 을 꼭 찾아서 동의해주세요
3460,과소평가받은 진정한 숨은 명작 ㄷㄷ,과소평가받은 진정한 숨은 명작들 ㄷㄷ
3480,말씀하신 부분 잘 이해했습니다,말씀하신 부분을 잘 이해했습니다
3507,내 나이 .. 너무 때가 묻은걸까.. 끝까지 보기 힘들다..,내가 나이.. 너무 때가 묻은걸까.. 끝까지 보기 힘들다..
3517,제 다음 강의를 이분을 통해 만들어 보려고 합니다.,제 다음의 강의를 이분을 통해 만들어 보려고 합니다.
3518,신은경 접대부연기는 좀 아닌듯.,아무래도 신은경 접대부연기는 좀 아닌듯.
3563,ㅎㅎㅎ 이거 너무 귀엽네요.,ㅎㅎㅎ 이거 너무 너무 귀엽네요.
3576,담배값 이제 내려주셧으면 합니다.청원 첨 해봅니다.,담배값 이제 그만 내려주셧으면 합니다. 청원 첨 해봅니다.
3579,노래 low듣다가 갑자기 급꼴로봤는데 아 내가왜봤을까....,노래 low듣다가 갑자기 갑자기 급꼴로봤는데 아 내가왜봤을까....
3586,이수완씨 개인적으로 넘좋게봐서첫데뷔작이래서 본건데..,이수완씨 개인적으로도 넘좋게봐서첫데뷔작이래서 본건데..
3590,특히 야당에게 드리는 글이오니 이걸로 더 이상 문제 삼지 말기를 바랍니다.,특히 야당에게 자주 문의 드리는 글이오니 이걸로 더 이상 문제 삼지 말기를 바랍니다.
3593,진 에어는 면허취소가 되어야 합니다.,진 에어는 면허취소가 되어야만 합니다.
3601,다음에 라이딩 하는 기자님들과 함께 라이딩 모임 만들어서 초대드리겠습니다,다음에 라이딩 하는 기자님들과 함께 라이딩 모임 만들어서 함께 초대드리겠습니다
3603,그리고 범죄자 정화도 해결해 주세요,그리고 범죄자 정화도 꼭 해결해 주세요
3605,유투브에 올라오는 문대통령에 대한 악의적인 동영상 유언비어들을 처벌해 주세요,유투브에 올라오는 문대통령에 대한 악의적인 동영상 유언비어들을 처벌해주 주세요
3612,월세 내고 입점 할 수 있다네요.,그럼 월세 내고 입점 할 수 있다네요.
3617,축구국대 석현준 발탁 해주세요.,대한민국 축구국대 석현준 발탁 해주세요.
3630,조직폭력배 꼭 없애 주십쇼...,우리 조직폭력배 꼭 없애 주십쇼...
3633,왜 범죄 조직은 혜택이 많나요?,왜 이런 범죄 조직은 혜택이 많나요?
3634,대리운전기사도 대출의 기회를 부여해야합니다.,대리운전기사도 대출의뢰 기회를 부여해야합니다.
3652,비정규직 정규직화는 언제 해주시는건가요??,비정규직 정규직화는 언제부터 해주시는건가요??
3655,한부모 어린이집 순위... 지원 좀 해주세요,한부모 어린이집 순위... 지원 좀 좀 해주세요
3661,그때 주인공들은 무명 배우들 이었지만 엄청난 카리스마가 느껴질 정도 였지요.,그때 주인공들은 전부 무명 배우들 이었지만 엄청난 카리스마가 다 느껴질 정도 였지요.
3668,편은유덕화 벌레무렸누데왜 안죽지그게의구심이지만 정말액션스케일은 세계최강,편은유덕화 벌레무렸누데왜 안죽지그게의구심이지만 정말액션스케일은? 세계최강
3671,시효소급 등을 위한 '미투운동 특별법' 만들어 주세요.,시효소급 등을 위한'미투운동 근절 특별법'만들어 주세요.
3678,성매매 여성들에게 2천만원 지급하는거 하지 말았으면 좋겠습니다.,성매매 피해 여성들에게 2천만원 지급하는거 하지 말았으면 좋겠습니다.
3682,"예약전에 Safe2Go에 회원 가입해야 하는데, 절차가 매우 복잡하네요.","예약전에 Safe2Go에 회원 가입해야 하는데, 가입 절차가 매우 복잡하네요."
3684,선원들의 복지를 위한 선원법으로 개정해 주세요.,선원들의 복지를 위한 선원법으로 전면 개정해 주세요.
3690,부산시 명지동 중학교 설립 청원,부산시 명지동에 중학교 설립 청원
3693,너무 좋은 아이디어 같습니다 ㅋㅋㅋ,너무 기분 좋은 아이디어 같습니다 ㅋㅋㅋ
3695,우와 템플릿이 엄청 아티스틱하네요ㅎㅎ,우와 템플릿이 엄청 엄청 아티스틱하네요ㅎㅎ
3696,"네네. 저도 처음에는 뭔가 괴상한 한글 같아서 거부감이 있었는데, 그것도 쓰다보니 익숙해지더라고요. ㅎㅎ","네네. 저도 처음에는 뭔가 괴상한 한글 같아서 거부감이 있었는데, 막상 그것도 막상 쓰다보니 익숙해지더라고요. ㅎㅎ"
3702,나는 오직... . 헤헤,나는 오직..... 헤헤
3713,난 몇번을 봐도 너무너무 행복하고 즐겁고 눈시울 적시는영화~,난 몇번을 봐도 너무너무 행복하고 너무너무 즐겁고 눈시울 적시는영화 ~
3724,저는 비개발 직군만 그런 어려움이 있는 줄 알았는데 아니었다는 것에서 조금 놀랐습니다.,"저는 비개발 직군만 그런 어려움이 있는 줄 알았는데, 그게 아니었다는 것에서 조금 놀랐습니다."
3725,빨리 코로나 끝나서 예전처럼 종종 파티했으면 좋겠네요,"빨리 코로나 끝나서 예전처럼, 종종 파티했으면 좋겠네요"
3740,자가 와이파이 성능 테스트..,자가 와이파이 성능 테스트 테스트..
3745,이명박 출국금지 및 자원외교 특별수사를 청원합니다.,이명박 출국금지 및 자원외교 특별수사를 강력히 청원합니다.
3748,"어려운 서민들, 시골 어르신들이 주로 사용하지만, 가격이 내리지 않았습니다.","어려운 서민들, 시골 어르신들이 주로 주로 사용하지만, 가격이 내리지 않았습니다."
3753,핸드폰 소액 결제 없앨수 없을까요??,핸드폰 소액 결제를 없앨수 없을까요??
3761,왜 현대중공업 공자 폐쇠했는데 뉴스에 안나오나요...,. 왜 현대중공업 공자 폐쇠했는데 뉴스에 안나오나요...
3763,추가로 세계 최고의 맛을 자랑하는 상현의 자랑,추가로 세계 요리 최고의 맛을 자랑하는 상현의 자랑
3777,마더에 나온 그 할머니 맞죠? ㅎㅎ,마더에 나온 바로 그 할머니 맞죠? ㅎㅎ
3785,전미선......당신은 이런 위대한 연기자였군요!,. 전미선...... 당신은 이런 위대한 연기자였군요!
